learn_rate,num_hidden_nodes,weight_range,beta,c,error
2.5,8,1.5,100.0,100.0,1.391855993733005
2.5,8,1.5,100.0,300.0,1.7739888558290149
2.5,8,1.5,300.0,100.0,2.751455687782473
2.5,8,1.5,300.0,300.0,2.1420228612486087
2.5,8,2.5,100.0,100.0,1.3638306444871064
2.5,8,2.5,100.0,300.0,1.6600010870707649
2.5,8,2.5,300.0,100.0,1.9806108593078555
2.5,8,2.5,300.0,300.0,0.9453592745194811
2.5,11,1.5,100.0,100.0,2.2849113089812896
2.5,11,1.5,100.0,300.0,1.7274814982690296
2.5,11,1.5,300.0,100.0,2.40277155125989
2.5,11,1.5,300.0,300.0,3.103689166477918
2.5,11,2.5,100.0,100.0,4.59409832827098
2.5,11,2.5,100.0,300.0,2.0807187169046637
2.5,11,2.5,300.0,100.0,5.405894671565496
2.5,11,2.5,300.0,300.0,2.7811959717522767
2.5,14,1.5,100.0,100.0,3.5942348174912935
2.5,14,1.5,100.0,300.0,1.5186644685375914
2.5,14,1.5,300.0,100.0,2.4099372970941193
2.5,14,1.5,300.0,300.0,2.4770873933591897
2.5,14,2.5,100.0,100.0,2.1712801115960403
2.5,14,2.5,100.0,300.0,1.598647279564978
2.5,14,2.5,300.0,100.0,2.92707571597495
2.5,14,2.5,300.0,300.0,3.123562112216863
