,error,"[learn_rate, num_hidden_nodes, weight_range, beta]"
889,2.0190505,"[0.49102306549850716, 5, 1.9001763387145876, 17.167103738096966]"
281,2.03376925,"[0.9326360082564086, 5, 2.6907828519584394, 26.232114955051983]"
46,2.20795675,"[0.4224848297923546, 5, 1.6176542279594859, 26.442552534360086]"
81,2.218363,"[0.5834359292957898, 4, 2.504142146629584, 38.017521889583186]"
979,2.37601925,"[0.7131518659732162, 3, 2.868941537303043, 47.37960309119452]"
233,2.40058175,"[0.6874988651106202, 5, 1.3946914407293611, 22.64062022742831]"
338,2.4376755,"[0.5958514426516102, 5, 1.7825227111522226, 13.43992416887659]"
196,2.43783175,"[0.8734832401853816, 3, 3.8106729600170013, 43.47119175874516]"
568,2.45576925,"[0.680120444695548, 6, 2.3178057567123425, 45.648370790464085]"
627,2.68420675,"[0.81525686293937, 3, 2.2315465818997113, 38.31565944278668]"
628,2.721613,"[0.8438126697143691, 4, 2.636617929032455, 26.19596532691174]"
680,2.727613,"[0.8868410460543328, 4, 1.8155501206389983, 11.531279726195956]"
158,2.74045675,"[0.8606303005414521, 2, 4.7222478206634095, 25.47263413680551]"
329,2.8769255,"[0.952946535474099, 5, 2.3468522158943106, 38.24090911620036]"
178,2.87833175,"[0.9898978350494572, 6, 2.5589249492259643, 28.135390251740045]"
69,2.879363,"[0.4022394759706678, 6, 2.489395273353514, 27.643511628067163]"
475,2.88164425,"[0.7783264721322326, 5, 2.0530942119224207, 27.542076741276293]"
259,2.8866755,"[0.8424715942066385, 5, 2.4795042884742426, 30.082414014343158]"
538,2.8998005,"[0.6906818018726433, 5, 2.5022839525622826, 20.864853589391004]"
61,2.91358175,"[0.9552876076668799, 4, 2.148876477723237, 10.666508569326641]"
230,2.97139425,"[0.35222252615925087, 5, 1.4717352511175144, 1.8514870704508806]"
864,2.98251925,"[0.9677789430305112, 6, 3.0576433139108716, 35.049708988898075]"
470,2.99233175,"[0.9586850385939173, 4, 4.222407496457202, 16.47135199399675]"
242,3.04839425,"[0.9775560749166117, 3, 2.8561516241283824, 41.13078747019257]"
531,3.0503005,"[0.673967905299676, 5, 2.3697148517692312, 17.61487909075898]"
