Unnamed: 0,error,learn_rate,num_hidden_nodes,weight_range,beta,c
596,0.828318354,1.836255864,18,1.972292098,57,481
904,0.920245396,0.547234904,14,1.907567214,78,332
237,0.979321742,3.189067258,5,2.205831983,456,496
953,1.023700429,2.267934812,14,1.50036036,81,177
282,1.044777464,2.36623355,11,1.864908865,32,437
358,1.088691154,1.025221577,21,1.740839309,32,422
56,1.130956469,1.068200753,17,2.06640346,428,422
167,1.271931617,1.434228473,10,2.919810377,99,103
143,1.287809337,4.898681854,5,2.208191784,145,402
788,1.295493842,3.845014907,8,2.524220326,353,496
902,1.317568811,3.304266833,7,2.116427528,362,499
34,1.320934969,4.747173417,4,1.590899235,325,334
198,1.355969283,4.730290745,7,2.496615366,157,436
996,1.432964248,4.219489093,4,2.14243242,421,81
651,1.435601393,3.399366118,10,1.101642382,57,250
539,1.440665998,4.124773568,5,1.887535252,142,494
684,1.442712091,4.435241449,3,2.108952131,493,370
975,1.472755668,4.036221926,8,1.93291823,19,345
487,1.484981475,4.917284289,8,2.063202177,20,400
719,1.509589164,2.40931154,10,1.847685383,166,103
309,1.537756973,4.474231104,5,2.428810331,149,160
329,1.542990456,2.44332694,7,3.107276098,330,106
966,1.549126453,2.853918415,13,1.126281884,300,293
59,1.550705933,4.016450808,5,1.946190002,144,56
187,1.560920511,2.156892586,19,1.373560594,190,446
33,1.583822304,3.617751601,12,1.607122155,186,193
151,1.614573002,2.767138131,14,2.050090119,135,152
71,1.6237785,3.613067586,6,2.041384942,98,319
428,1.643441333,4.460041058,6,2.143310126,487,91
153,1.66210907,1.148635295,13,2.508074768,264,342
748,1.673037811,4.46303789,4,2.87429566,447,379
365,1.729342,2.943260502,3,4.36456534,488,389
219,1.729950793,3.831602018,5,3.302940339,489,226
747,1.75178344,3.674028707,9,2.207622847,297,255
674,1.758441179,2.051311103,18,1.530298879,92,123
218,1.782862235,1.861268438,12,1.727168312,17,309
465,1.795298382,2.772786023,11,1.50320224,85,168
967,1.812485336,3.396991985,12,1.020218286,125,315
553,1.815318291,1.33328209,17,1.667172661,60,232
25,1.815993061,3.997036056,5,2.478344753,107,375
974,1.820410039,1.401407476,10,2.145532671,13,282
733,1.854084006,4.790160045,2,2.883327183,142,87
829,1.862702297,4.426554554,4,3.360712829,315,57
730,1.873303337,4.915609888,5,1.533579322,47,250
866,1.882491933,2.08745562,8,1.232196726,345,488
509,1.884954147,2.668939276,6,3.628962158,78,399
359,1.890857277,2.462713797,14,1.561751027,81,336
182,1.897634466,3.262367656,12,1.273421556,260,115
107,1.921071968,2.659346391,4,1.926999703,306,44
340,1.949504081,4.608783072,10,1.2584581,56,471
724,1.957148172,2.927885665,11,2.100804654,470,447
396,1.959584363,2.063876334,4,1.443861341,334,487
154,1.960176605,2.11402795,5,2.748688608,66,162
304,1.978550017,3.194483366,9,1.809226166,404,113
201,1.99516962,2.741484289,7,1.840952417,53,71
449,2.000035464,3.730823294,3,5.215603174,377,221
811,2.002375108,4.043522763,10,1.870190849,328,81
691,2.039256449,2.825710843,11,1.700644463,265,472
391,2.065788518,4.118136782,8,1.18418655,483,374
947,2.086725492,2.398506226,14,1.526837964,206,79
6,2.090184277,2.176015778,12,2.541867457,373,425
520,2.090449556,2.594207401,7,2.688808771,290,408
184,2.105946669,1.591291818,10,2.277200294,279,195
231,2.121878332,2.550622192,10,1.254768189,152,329
621,2.124860936,2.540617288,12,1.512627572,275,434
4,2.141370774,2.543146001,6,1.547456974,464,415
519,2.142416589,2.287971375,6,2.11059321,53,85
370,2.153076767,3.537023255,2,2.399705118,261,305
579,2.160835205,4.777816497,11,1.542202538,338,261
540,2.161411306,3.378510341,8,1.434747093,249,432
886,2.163099455,4.295112857,11,1.477070103,311,430
740,2.165278906,1.838046255,6,2.453212386,463,379
78,2.175021834,4.070901498,7,3.036986986,4,347
614,2.214294149,1.307648733,23,1.464439439,383,227
224,2.222880111,1.702840941,18,2.975712822,421,232
269,2.223060772,1.324697471,22,1.59231937,147,151
463,2.228043146,3.544751031,9,1.188698463,98,149
226,2.238186925,1.544706105,11,1.755587526,276,322
875,2.24828637,4.046970066,5,3.102162288,171,412
938,2.25361726,4.604268298,3,0.775418678,487,271
576,2.255388253,1.722675788,9,2.362008714,149,325
48,2.268459882,3.449878918,9,3.44452154,306,74
179,2.283916112,4.417550647,9,2.572323832,222,220
100,2.315430672,4.207405396,11,0.715497515,181,345
845,2.320334358,3.349506595,5,3.21007456,468,459
474,2.325594427,3.619443466,10,0.702110861,442,144
217,2.327584703,2.059235357,23,1.572312384,318,98
836,2.329018172,3.961699205,7,1.160812744,474,482
165,2.3318213,1.164221431,15,1.669371084,65,327
285,2.338266672,3.93366537,13,1.732536577,184,60
925,2.360450065,4.523502224,11,2.018336022,113,205
583,2.362180405,2.046130879,6,2.766535343,212,339
73,2.37013679,2.347543789,12,2.006362426,359,136
802,2.374123457,4.710193797,7,1.806060274,144,426
981,2.38886356,1.601463439,23,2.162767788,133,193
916,2.422010232,2.283163395,14,1.716191956,276,199
144,2.432906896,1.59480741,6,2.10264568,498,196
781,2.438155243,2.501934943,19,1.831015059,84,427
606,2.442168219,2.283256125,11,1.817000924,451,373
473,2.445840244,4.262247094,7,1.224266858,180,469
337,2.447116696,4.686621593,7,2.174292261,266,45
436,2.463200277,3.53747358,17,0.986571727,348,447
834,2.46733151,3.550965802,9,1.407763893,21,81
891,2.482582746,1.858258063,7,3.322069748,73,369
291,2.488562354,3.245782029,18,1.073961044,155,161
816,2.49757533,3.970847994,3,3.16878607,294,263
109,2.501840346,4.799005823,13,1.025997777,279,409
853,2.509101583,2.575075173,20,1.19722762,11,114
254,2.525751581,1.892644455,11,1.202341378,311,466
729,2.539027281,1.454619963,8,2.205009965,54,73
906,2.569299,0.999542893,15,2.700817028,240,383
438,2.575596144,1.388293734,18,2.320287891,475,290
676,2.591419456,3.486631419,8,2.361326833,407,336
859,2.595971746,2.723970426,19,1.613619094,307,490
560,2.598693909,2.369724138,18,0.887969955,204,174
561,2.610508082,2.675259767,17,0.587132027,37,454
301,2.614680489,3.070840794,19,1.283192701,120,417
488,2.624386888,2.019606627,19,1.295813345,90,110
298,2.638503258,4.844205025,2,2.132365842,3,270
131,2.64868788,3.740614946,12,1.643827033,102,165
94,2.673107866,3.354997232,8,1.444393004,40,375
961,2.674957174,4.334022608,7,1.380311508,340,172
54,2.676068918,1.506373379,13,3.02670976,111,287
721,2.683228264,3.060134571,5,1.338613103,75,248
92,2.683982513,3.92216314,6,2.833429959,427,486
386,2.685186531,1.875569086,6,1.664147888,383,92
705,2.727600155,1.108839865,21,2.397542218,0,493
892,2.728646045,4.35439189,9,2.543767383,299,349
654,2.744551663,2.394100919,8,2.189116493,466,256
998,2.745840345,1.32865355,15,3.023081257,168,174
912,2.748372161,3.725054002,14,0.826570136,415,261
390,2.755058632,0.969053013,7,3.281379926,342,342
956,2.780336595,3.210378357,4,1.03866371,242,380
193,2.786509771,3.872424695,11,0.565070943,467,276
233,2.794064749,3.439304602,13,2.647089939,145,226
314,2.812985193,2.586578893,14,1.224926217,414,95
77,2.831534646,3.510752118,19,0.844620953,468,200
483,2.850025223,2.960358844,18,0.746691102,80,148
466,2.85748273,3.154793667,4,1.076940922,161,69
232,2.859334817,4.507234771,7,0.654817599,453,317
490,2.860761251,2.214494917,21,1.761666033,195,340
994,2.87360564,3.714013271,10,0.600759932,379,178
324,2.875497511,2.594479038,10,3.48122507,178,293
793,2.875515153,4.5140091,7,3.786432377,432,81
472,2.881110096,3.753929657,15,0.972218543,333,119
13,2.893095959,4.923529066,14,1.510701067,90,343
701,2.897505694,2.967788022,21,1.182994855,185,437
128,2.901091484,2.432929033,15,0.647006948,196,408
750,2.902635855,4.079755675,3,2.433269244,188,306
146,2.922615179,1.545772609,14,3.278519313,364,198
543,2.92698414,2.610857235,18,0.759514432,276,201
713,2.928189809,2.069282306,24,0.973190027,326,346
556,2.931403227,2.576557869,8,1.160600261,19,49
843,2.933189267,2.408598285,9,1.940681469,434,412
986,2.934859722,3.591945367,9,2.143418976,74,154
357,2.938231335,3.540862721,8,3.486066956,276,374
43,2.945526236,2.027726021,18,1.961387795,482,275
988,2.948238166,1.463592391,19,0.843552402,9,459
377,2.949621203,3.516897582,6,3.01594261,390,245
979,2.958730478,2.740492629,3,4.394848731,233,492
76,2.966302553,4.978764215,14,0.762076268,207,441
926,2.968516543,4.463554282,17,1.136086823,315,129
397,2.975047512,4.588035945,17,0.67130077,46,405
550,2.981647341,2.340426977,12,0.897068308,178,429
122,2.991284789,4.631523292,5,1.413133673,176,55
503,2.991456085,1.726893604,12,2.089108839,386,209
354,2.99148694,4.819026052,4,3.803477805,430,499
