learn_rate,num_hidden_nodes,weight_range,beta,c,error
0.5,2,0.5,0.0,0.0,17.183363
0.5,2,0.5,0.0,250.0,8.554476517399696
0.5,2,0.5,250.0,0.0,17.183363
0.5,2,0.5,250.0,250.0,10.43070764386778
0.5,2,3.0,0.0,0.0,17.183363
0.5,2,3.0,0.0,250.0,6.936625285234071
0.5,2,3.0,250.0,0.0,17.183363
0.5,2,3.0,250.0,250.0,6.3026280812270095
0.5,8,0.5,0.0,0.0,17.183363
0.5,8,0.5,0.0,250.0,6.738638881253328
0.5,8,0.5,250.0,0.0,17.183363
0.5,8,0.5,250.0,250.0,7.817470153380974
0.5,8,3.0,0.0,0.0,17.183363
0.5,8,3.0,0.0,250.0,6.2574029021985815
0.5,8,3.0,250.0,0.0,17.183363
0.5,8,3.0,250.0,250.0,5.465888211814736
0.5,14,0.5,0.0,0.0,17.183363
0.5,14,0.5,0.0,250.0,5.125197454663938
0.5,14,0.5,250.0,0.0,17.183363
0.5,14,0.5,250.0,250.0,6.613067592631222
0.5,14,3.0,0.0,0.0,17.183363
0.5,14,3.0,0.0,250.0,6.647896436955444
0.5,14,3.0,250.0,0.0,17.183363
0.5,14,3.0,250.0,250.0,11.645869579849553
