learn_rate,num_hidden_nodes,weight_range,beta,c,error
3,8,3,250,250,1.83840197
3,8,3,0,250,2.451526071
3,2,3,250,250,2.852039444
3,2,3,0,250,3.045143755
3,14,0.5,0,250,3.085825321
3,8,0.5,0,250,3.214742254
3,14,0.5,250,250,3.754902817
3,8,0.5,250,250,4.386818537
3,2,0.5,0,250,4.505820106
0.5,14,0.5,0,250,5.125197455
3,14,3,250,250,5.288338006
0.5,8,3,250,250,5.465888212
3,14,3,0,250,5.973261758
0.5,8,3,0,250,6.257402902
0.5,2,3,250,250,6.302628081
3,2,0.5,250,250,6.342102684
0.5,14,0.5,250,250,6.613067593
0.5,14,3,0,250,6.647896437
0.5,8,0.5,0,250,6.738638881
0.5,2,3,0,250,6.936625285
0.5,8,0.5,250,250,7.817470153
0.5,2,0.5,0,250,8.554476517
0.5,2,0.5,250,250,10.43070764
0.5,14,3,250,250,11.64586958
0.5,2,0.5,0,0,17.183363
0.5,2,0.5,250,0,17.183363
0.5,2,3,0,0,17.183363
0.5,2,3,250,0,17.183363
0.5,8,0.5,0,0,17.183363
0.5,8,0.5,250,0,17.183363
0.5,8,3,0,0,17.183363
0.5,8,3,250,0,17.183363
0.5,14,0.5,0,0,17.183363
0.5,14,0.5,250,0,17.183363
0.5,14,3,0,0,17.183363
0.5,14,3,250,0,17.183363
3,2,0.5,0,0,17.183363
3,2,0.5,250,0,17.183363
3,2,3,0,0,17.183363
3,2,3,250,0,17.183363
3,8,0.5,0,0,17.183363
3,8,0.5,250,0,17.183363
3,8,3,0,0,17.183363
3,8,3,250,0,17.183363
3,14,0.5,0,0,17.183363
3,14,0.5,250,0,17.183363
3,14,3,0,0,17.183363
3,14,3,250,0,17.183363
