,error,"[learn_rate, num_hidden_nodes, weight_range, beta]"
122,0.572142161,"[2.1792757546535, 12, 2.0358688238843206, 456, 463]"
326,0.618570937,"[2.927384619714116, 11, 1.6024719986380258, 472, 462]"
286,0.68758429,"[2.2769594598793694, 11, 2.495844530073644, 455, 479]"
576,0.695221835,"[2.977197605256651, 11, 2.0375749638625322, 459, 452]"
152,0.727338649,"[2.5894726687142664, 12, 2.2032808287076593, 492, 490]"
627,0.767056429,"[2.167867010659645, 12, 1.867932238725904, 484, 466]"
705,0.799039482,"[2.4022688128627614, 13, 1.8360199902538958, 461, 484]"
451,0.812587944,"[2.6457734790616523, 14, 1.5112471429371352, 462, 482]"
289,0.826762267,"[2.551888034959613, 13, 1.6191245562906187, 481, 479]"
322,0.828553836,"[2.401382592303543, 13, 2.170202923045207, 463, 496]"
721,0.829005592,"[2.156282673009644, 10, 2.410632742624778, 475, 480]"
304,0.843744614,"[2.8683719224265154, 13, 2.3130877899241242, 468, 489]"
34,0.875401922,"[2.0677498990937626, 12, 1.9206768917214037, 475, 491]"
471,0.905637411,"[2.1114806083497646, 12, 2.1340266443734768, 468, 451]"
552,0.911535214,"[2.2171538855881576, 13, 2.1708944954040437, 490, 450]"
83,0.922263495,"[2.4560790629905265, 11, 2.1774111613575875, 459, 469]"
369,0.932945147,"[2.6625121868289496, 12, 1.68692041066841, 495, 471]"
702,0.939132569,"[2.255110043179433, 13, 2.1564200406226974, 499, 497]"
239,0.950500163,"[2.9256006568779567, 12, 2.0285182508733657, 466, 471]"
97,0.964837674,"[2.150760444193897, 12, 1.7196652376966712, 489, 491]"
312,0.975571087,"[2.1947357210958534, 12, 2.0549745562299186, 490, 475]"
88,0.989526234,"[2.4981415915478844, 13, 1.6244248410779558, 469, 489]"
205,0.992856058,"[2.1139963712954626, 10, 2.2965338887737348, 482, 491]"
606,0.996918378,"[2.8599441951978837, 11, 2.0203974789627366, 479, 468]"
452,0.998573803,"[2.710636037846796, 10, 2.1135619821218574, 459, 489]"
535,0.99858718,"[2.783891245802202, 12, 1.696763030033141, 468, 469]"
678,0.998592775,"[2.6828746640682772, 13, 1.5407138423364848, 452, 489]"
200,1.003600575,"[2.7724368759271276, 11, 2.084436834391643, 478, 480]"
745,1.00475562,"[2.3307206121036295, 13, 1.9557949511371397, 475, 471]"
589,1.007540397,"[2.6397014084550685, 11, 1.9792519823068009, 494, 479]"
420,1.020906546,"[2.5890552248628502, 13, 1.7090447536057396, 473, 500]"
213,1.023545583,"[2.0520827292815333, 15, 1.7096607284975438, 465, 453]"
510,1.028253076,"[2.559583605657806, 13, 2.286756489474885, 492, 479]"
