Unnamed: 0,error,learn_rate,num_hidden_nodes,weight_range,beta,c
785,0.75548116,3.485867946,8,2.2568952,227,273
906,0.845541584,4.085887576,5,2.011677965,99,330
453,1.07324833,2.070318737,9,1.858092495,25,426
846,1.104433188,3.714302453,6,2.295353982,322,309
419,1.158128057,2.799088466,9,2.409931795,213,277
103,1.211595264,4.527306659,8,2.067564028,86,132
721,1.236203527,2.601100456,11,2.016903322,364,257
868,1.285072292,4.560360614,3,3.274736426,254,206
990,1.302919419,4.41309639,5,2.084544432,305,111
36,1.30301932,1.478896917,11,1.974560685,313,284
378,1.330671863,2.624975595,11,2.092279183,282,188
875,1.352685659,1.73237904,8,1.489044165,390,301
180,1.360656035,4.321826787,4,3.217287486,383,233
24,1.395370721,3.12816915,10,1.945056805,20,407
324,1.398708939,4.485513075,7,1.307017208,434,244
793,1.532884867,2.051979365,9,2.239678997,278,359
106,1.539716874,4.799534691,8,1.451106301,438,336
930,1.542645989,2.131720915,18,1.662336454,220,200
185,1.555320151,2.485672449,10,2.0326223,469,114
189,1.639148964,4.168050939,8,1.226151814,200,162
841,1.658489608,4.01676161,4,2.405400866,392,109
323,1.66574311,3.821828239,13,1.817642506,490,264
894,1.675521958,1.163569106,13,2.018386335,202,288
56,1.677722962,1.560793812,12,1.515781671,459,195
339,1.693548313,1.118308067,15,1.387583294,310,472
531,1.730223931,1.119433121,24,2.24480372,124,98
34,1.732653221,4.153756976,8,0.815969867,167,443
80,1.739784542,1.644486278,15,1.905466089,292,264
986,1.742094704,3.286672707,4,2.881143723,383,376
411,1.742441782,3.276065416,12,1.191928282,163,156
626,1.763835535,2.273712607,5,1.821892429,294,461
451,1.802030103,3.192078521,4,2.050719639,206,175
880,1.821169379,1.328727967,9,2.853975965,212,297
582,1.832338305,2.161162668,9,1.49058014,467,121
389,1.834905935,2.287831903,13,2.004482673,485,246
55,1.838118035,4.54447762,7,1.17442035,244,246
343,1.843576935,2.583166338,12,1.31690118,46,327
652,1.844440532,2.151352929,14,1.435801375,93,313
833,1.85660803,4.031166237,11,2.648202653,303,490
798,1.880773367,1.671925772,21,1.606878717,132,130
609,1.893148486,3.084521679,7,1.069205583,264,351
725,1.902244213,3.918328504,7,2.93885894,488,281
181,1.923620717,4.683693134,8,2.230842616,172,131
104,1.9439322,2.966688801,12,3.310472874,438,340
651,1.945238233,4.119086284,8,1.730272434,341,184
913,1.945288515,1.940190138,20,1.735032202,403,438
657,1.955400763,3.356613932,6,1.723879124,71,107
856,1.973510524,3.069654947,3,2.554338778,437,231
337,1.995442364,0.940830078,16,1.714504133,70,473
497,2.002631479,4.428014288,4,2.28136317,431,473
44,2.010978078,1.554335432,25,1.76258171,496,327
485,2.018346513,2.87680543,11,2.531742253,136,230
591,2.019955234,0.773316139,22,1.623196172,452,424
402,2.028526526,3.544716601,12,1.283206191,433,167
869,2.034748096,2.092641379,16,1.111387491,463,252
492,2.076792631,2.614053564,19,1.836887912,302,277
923,2.082414602,3.079033885,9,3.027631016,21,358
232,2.088736606,1.812027966,7,2.587978804,84,258
311,2.091422983,2.730795062,18,1.366734536,328,405
922,2.098666533,1.477904452,20,1.551953767,295,409
413,2.106912103,3.772938356,6,1.721631535,98,374
428,2.110878689,4.684374845,7,1.278008037,17,191
220,2.111677037,4.70975138,5,0.87662768,209,241
369,2.123407558,4.849051392,5,3.358457464,46,256
157,2.129343919,4.101086676,11,1.089560115,357,437
319,2.133825362,4.774936621,7,1.273902052,64,182
208,2.150123312,3.361152473,7,2.783049879,360,433
517,2.162551214,2.699954541,14,1.355205316,127,318
552,2.167029928,1.649147058,22,1.523243487,350,301
666,2.175057788,3.671429851,8,1.995673233,334,475
947,2.205258163,3.361943314,5,3.132016191,368,418
167,2.212143969,3.763065708,9,2.726542991,100,105
439,2.213948856,4.587452607,9,0.882350148,393,221
116,2.222559164,4.159186778,4,0.547671641,133,429
826,2.22708092,4.863728257,4,2.788887598,150,129
464,2.234971021,2.215926652,8,1.542462803,381,458
792,2.238170952,4.531898944,10,0.637391452,281,381
465,2.240277191,3.790833593,6,1.407799773,224,355
358,2.249828909,3.924112728,5,3.830969581,423,385
