,error,"[learn_rate, num_hidden_nodes, weight_range, beta]"
301,0.468437267,"[2.57673500597061, 11, 1.9401248339643873, 488, 461]"
479,0.626136916,"[2.9181189821535924, 13, 2.4213350118522854, 486, 455]"
472,0.707821097,"[2.768503491955987, 11, 2.0343968139736823, 469, 459]"
467,0.751667641,"[2.606107207437439, 12, 2.4460939777347974, 484, 493]"
66,0.773221469,"[2.221356805610468, 12, 1.6583929722092923, 453, 478]"
393,0.798296205,"[2.7602571115638592, 13, 1.574893319829862, 482, 488]"
611,0.863439398,"[2.5116608288663365, 13, 1.948683269460411, 470, 494]"
492,0.863777144,"[2.244716960408466, 10, 2.0486099664771698, 470, 495]"
595,0.89463689,"[2.510075946470139, 13, 1.7158120992376065, 484, 496]"
188,0.903600739,"[2.201831019823926, 14, 1.5441571401956273, 461, 475]"
660,0.904589152,"[2.7026419574798646, 11, 1.625122211488739, 493, 476]"
578,0.930375634,"[2.4871578320880703, 10, 2.098668666696679, 494, 450]"
202,0.932428707,"[2.3569811955320223, 11, 2.156692482720341, 450, 469]"
150,0.972784629,"[2.6313735747040465, 12, 2.1401715410689244, 486, 474]"
390,0.990634217,"[2.692063365349727, 11, 2.4175491179656405, 482, 496]"
4,0.999676411,"[2.4174275826877762, 13, 2.0321889159278177, 454, 458]"
29,1.000525045,"[2.328765479368276, 12, 1.647618391834428, 466, 476]"
669,1.003186378,"[2.564201101200073, 12, 1.5530963724878377, 479, 479]"
613,1.014687786,"[2.3508666501525766, 12, 1.9068230915661577, 495, 469]"
127,1.03096194,"[2.1910406257237036, 13, 2.1166286183262706, 483, 497]"
305,1.036579988,"[2.2671190810198825, 13, 1.9124522702981444, 497, 458]"
116,1.037039265,"[2.6782680620329424, 10, 1.564747009107578, 465, 468]"
319,1.037155784,"[2.767366712301166, 11, 1.7400445516541907, 468, 461]"
592,1.040538565,"[2.8797151224105124, 11, 2.275407595338255, 491, 490]"
167,1.045138524,"[2.111758264495981, 12, 1.7435688077544202, 480, 476]"
797,1.049629853,"[2.206171507727309, 13, 2.171164605055023, 467, 476]"
160,1.051611145,"[2.438095887574377, 15, 1.687788411280279, 497, 481]"
260,1.052052166,"[2.0678156755870023, 11, 2.354681949443788, 477, 460]"
99,1.056299198,"[2.0506844110786875, 13, 1.795301669229074, 486, 475]"
639,1.068365091,"[2.715995801438381, 11, 1.7896072854186253, 490, 476]"
794,1.080814436,"[2.550011856004245, 12, 1.6625387824652134, 455, 475]"
9,1.082379979,"[2.3317663860578257, 13, 2.066939124446388, 459, 465]"
73,1.094464665,"[2.250437811143753, 13, 2.3170875349358657, 496, 495]"
706,1.095069076,"[2.8973906942102907, 14, 1.7415357327541476, 491, 495]"
367,1.100739486,"[2.3938570036770623, 12, 2.0588388094156187, 454, 486]"
735,1.102006115,"[2.347442527199363, 13, 1.5370672630258724, 473, 484]"
453,1.103278869,"[2.999703172822716, 11, 2.466031168669625, 460, 492]"
339,1.110400466,"[2.639253841700801, 10, 1.5546043889229828, 494, 475]"
638,1.11603807,"[2.1587924241190635, 11, 2.1456624813690532, 461, 477]"
765,1.116661913,"[2.1006123247918658, 12, 1.953188314814566, 465, 472]"
