,error,"[learn_rate, num_hidden_nodes, weight_range, beta]"
73,0.004861995,"[1.0859924099968392, 10, 2.9386517301478228, 271, 354]"
94,0.008880447,"[0.8731677360612409, 12, 2.5634561159348164, 397, 363]"
44,0.009126773,"[1.1413482485217736, 9, 2.7759870590129814, 439, 377]"
72,0.01018739,"[1.2097836618255644, 9, 2.574251224294633, 315, 411]"
39,0.010377111,"[0.6004365887049739, 9, 2.1367795734034476, 429, 404]"
22,0.012365687,"[0.9177523532502092, 10, 2.4317558820711396, 442, 410]"
70,0.012442128,"[1.16245416726918, 10, 2.8994385355361896, 421, 378]"
4,0.012790051,"[1.109063921087395, 10, 2.97266702303068, 334, 379]"
8,0.012793888,"[0.8495213911443726, 9, 2.8460256040003555, 388, 374]"
21,0.013156672,"[1.2107279212225608, 7, 2.64802994304722, 385, 395]"
68,0.013234332,"[1.4339829004353613, 9, 2.7560761509113405, 256, 377]"
96,0.013973028,"[1.0678262087520403, 8, 2.734206627274575, 297, 427]"
92,0.01508416,"[0.748755338420231, 11, 2.121830303236512, 332, 447]"
85,0.015278173,"[1.2085634451409057, 7, 2.5385595088371735, 366, 413]"
76,0.015557098,"[1.3157076865390254, 6, 2.7158537099854376, 305, 377]"
41,0.015856311,"[1.1006687047530666, 7, 2.8497685473622103, 426, 413]"
42,0.016193746,"[1.180380658490249, 11, 2.8158313166275906, 359, 363]"
77,0.016395841,"[1.050884853922574, 7, 2.7996612569835184, 349, 419]"
2,0.016435849,"[0.6469414771832405, 10, 2.004745908240978, 331, 437]"
45,0.016474102,"[0.7890507701870713, 6, 2.422692087902194, 347, 404]"
11,0.016655317,"[0.7079068723751349, 8, 2.554528287693313, 306, 447]"
12,0.016750535,"[1.2063884060208045, 11, 2.596175917968136, 348, 359]"
34,0.016773816,"[1.191629256065971, 7, 2.8526621859881236, 399, 440]"
71,0.017049478,"[0.7636560470533378, 9, 2.4276862003724675, 424, 353]"
50,0.017107102,"[0.9075633696894772, 7, 2.213395145351419, 301, 422]"
87,0.017163385,"[0.6955077676559516, 10, 2.567988995052638, 440, 426]"
75,0.017621613,"[0.8145329741626739, 7, 2.328610553703534, 448, 406]"
1,0.017973407,"[1.0142540328856078, 8, 2.968558789328389, 400, 395]"
53,0.018254147,"[1.329233155160085, 5, 2.530591163386511, 306, 370]"
56,0.018458321,"[0.8202793013139924, 9, 2.314390738837676, 329, 402]"
95,0.018460832,"[1.26681204161753, 12, 2.9118043805819496, 368, 406]"
14,0.018693628,"[0.8829448885390794, 10, 2.767538746382767, 313, 424]"
79,0.019758376,"[1.287037757630546, 10, 2.706002609799567, 382, 363]"
31,0.021009113,"[1.4556442031936196, 12, 2.8251033421370604, 410, 420]"
64,0.021472101,"[1.1694739892665345, 11, 2.935172288183127, 389, 447]"
54,0.022068885,"[0.6217984261423966, 8, 2.3053809965948133, 283, 395]"
60,0.024127663,"[1.1687723296922838, 8, 2.7611020908927792, 257, 436]"
0,0.025364664,"[0.860035003774974, 8, 2.236193073222535, 436, 443]"
29,0.025619929,"[0.789419196124687, 7, 2.8762692383514077, 394, 411]"
52,0.026471976,"[0.8612033310819205, 7, 2.971273699889611, 364, 422]"
69,0.027106232,"[1.1506940293975414, 10, 2.461309022406057, 405, 434]"
62,0.027309738,"[0.7891333597389263, 9, 2.9298147573029847, 441, 405]"
81,0.028077356,"[1.1103607380877119, 6, 2.624133718316008, 371, 444]"
25,0.028133814,"[1.4811673242779126, 6, 2.5324212195293496, 446, 370]"
98,0.028485221,"[0.9977342446910037, 9, 2.938365801707936, 374, 380]"
18,0.028495726,"[0.7444867277711129, 10, 2.0220279777781496, 328, 425]"
7,0.029685622,"[0.7338516625293572, 9, 2.5844456102571853, 427, 384]"
32,0.030462171,"[0.5799828791826055, 9, 2.3557857389251984, 302, 435]"
58,0.031029398,"[1.1981468491538325, 11, 2.478299428123722, 269, 428]"
55,0.031382517,"[0.6911332274017006, 12, 2.7746819856714504, 275, 448]"
13,0.031490928,"[1.2167762251198377, 12, 2.372078951425271, 330, 381]"
66,0.03184567,"[1.343178331565994, 11, 2.615612995583904, 349, 443]"
3,0.032413188,"[0.8520353461271417, 8, 2.0493152301787396, 404, 449]"
86,0.032634366,"[0.6599494267966582, 10, 2.635346112385662, 315, 427]"
6,0.032810791,"[1.0643582350208574, 6, 2.986347871995312, 282, 406]"
36,0.033219756,"[0.7419575975023411, 11, 2.7529027507495147, 322, 394]"
46,0.033355444,"[1.0125671319065634, 11, 2.054427569241795, 336, 446]"
83,0.033439687,"[1.2657553283988099, 5, 2.5021917215209077, 338, 395]"
20,0.033538037,"[1.4065754670547594, 8, 2.590804885065275, 273, 421]"
9,0.033946771,"[0.8113619202740114, 6, 2.813451715144485, 417, 365]"
80,0.03414733,"[0.5521501560765002, 5, 2.215941068148408, 287, 352]"
37,0.03421812,"[0.5145575072575903, 9, 2.358794940609974, 418, 363]"
28,0.03465379,"[0.938597468838928, 12, 2.7540105044752554, 261, 390]"
74,0.036537701,"[0.7838187798962557, 9, 2.7462281217121443, 443, 425]"
5,0.037732581,"[1.01182617760931, 7, 2.106255364051243, 280, 396]"
57,0.03814631,"[0.7845317758794401, 11, 2.9884253335443303, 351, 352]"
38,0.038328163,"[0.6695323937149226, 8, 2.7857322184034614, 431, 380]"
16,0.039509764,"[1.2519547540591223, 5, 2.28706598777883, 413, 366]"
88,0.041520148,"[1.2222484578788788, 9, 2.4150746448986276, 258, 441]"
23,0.042363446,"[0.5124355579494884, 8, 2.504288007479062, 314, 358]"
59,0.043155464,"[1.1324238451469086, 10, 2.232860833391091, 384, 367]"
65,0.043901892,"[1.422276414596007, 5, 2.359145980837491, 414, 353]"
48,0.0455684,"[1.1334760668819766, 7, 2.1069070714002374, 353, 378]"
49,0.045946361,"[0.609634552205348, 5, 2.2878237637497185, 338, 427]"
78,0.049211837,"[0.5509639337510516, 9, 2.542388643094276, 360, 403]"
99,0.052100709,"[1.3299433170532269, 10, 2.337210047228481, 341, 444]"
84,0.053154574,"[0.7615627382122487, 8, 2.7244920271911424, 374, 390]"
19,0.055174283,"[0.5414919971228079, 8, 2.4001221118540332, 333, 361]"
67,0.056408405,"[1.4343301108845865, 5, 2.3649321025283214, 434, 388]"
17,0.058070168,"[0.6300055097905193, 12, 2.958409670592306, 282, 352]"
89,0.058427641,"[0.8386062616692396, 6, 2.754257696216578, 444, 429]"
97,0.058571659,"[0.641251253924725, 7, 2.704920053116169, 427, 366]"
33,0.058767652,"[1.3600981493890445, 5, 2.316145378646266, 425, 371]"
93,0.060626253,"[1.1576084291590696, 12, 2.047872142959308, 401, 416]"
61,0.061214676,"[1.2552248929227101, 11, 2.241753165329644, 250, 447]"
51,0.063658718,"[0.5629149853391415, 11, 2.9617583905979763, 271, 449]"
10,0.064251634,"[0.6608123513056048, 7, 2.916115951327492, 281, 421]"
82,0.070503644,"[0.5499769568628777, 9, 2.7366850577189497, 300, 449]"
90,0.071562767,"[1.4618530458894958, 7, 2.1899390109399306, 270, 354]"
47,0.073069638,"[0.5809080772061594, 9, 2.55706731680551, 426, 388]"
35,0.073760905,"[1.2936799436185054, 6, 2.130142478779704, 359, 448]"
63,0.076284847,"[0.695516949012067, 6, 2.947332358947318, 341, 421]"
30,0.08678768,"[0.5487944841066648, 5, 2.7818296734669112, 338, 362]"
43,0.089329175,"[0.5190707214938581, 6, 2.726449860193908, 304, 431]"
91,0.09068778,"[1.4509718366483513, 11, 2.2688882792421614, 311, 354]"
26,0.092870579,"[1.3722864989677874, 9, 2.108369779129648, 412, 358]"
40,0.094910088,"[1.40366431244163, 9, 2.060824096856585, 275, 357]"
24,0.095656296,"[1.3823251381262611, 11, 2.129739206227935, 406, 410]"
27,0.11082765,"[0.5035953238750377, 6, 2.713801563665773, 404, 376]"
15,0.111950368,"[1.3007759821327074, 11, 2.007069564605678, 411, 371]"
