,error,"[learn_rate, num_hidden_nodes, weight_range, beta]"
0,0.041617187500000014,"[0.9366551242269517, 11, 2.0456909548210604, 417]"
1,0.011639062500000009,"[1.1807068498232378, 14, 2.7697185591740507, 460]"
2,0.04943125,"[1.4063286016690761, 13, 2.310871503213534, 437]"
3,0.012370312499999998,"[1.1881919414801891, 14, 2.929483940853486, 457]"
4,0.015226562500000007,"[0.6902199110045848, 12, 2.715020084487801, 446]"
5,0.015090625,"[0.6847577870552491, 15, 2.3707704829868907, 490]"
6,0.028515625,"[1.4716356137483677, 10, 2.802365462811027, 482]"
7,0.031506250000000006,"[0.8102492315691705, 13, 2.0812337574544184, 499]"
8,0.03311718749999999,"[0.8299521009565711, 15, 2.8416341467863044, 432]"
9,0.06410625000000003,"[1.160259054894124, 10, 2.068597594385349, 498]"
10,0.026820312500000002,"[1.2734517997070065, 15, 2.5624430424104245, 498]"
11,0.03227031250000001,"[0.8438250660583484, 12, 2.0766028005083395, 449]"
12,0.040175,"[1.052770656359715, 11, 2.3032686930130426, 441]"
13,0.07292187500000001,"[1.341318241270705, 14, 2.138448775757033, 493]"
14,0.015832812500000012,"[1.4503604998641824, 14, 3.01733624389016, 426]"
15,0.024259375000000007,"[0.8696741968759041, 14, 2.98141847783892, 440]"
16,0.026723437499999995,"[0.945806700573042, 14, 2.2328639301202866, 462]"
17,0.02321875000000001,"[1.3469256320249512, 10, 2.6861207185846157, 439]"
18,0.009571875000000018,"[0.9689263187301047, 12, 2.9555159689196517, 448]"
19,0.013604687499999994,"[0.5453075680185703, 12, 2.0477931427509013, 452]"
20,0.03633125,"[0.7907305257882387, 15, 2.0859798475258415, 445]"
21,0.016321874999999996,"[0.8386705794755607, 13, 2.7743613010608823, 492]"
22,0.013910937499999993,"[0.8938803381616045, 12, 2.2773346630118483, 499]"
23,0.025864062499999996,"[0.6830081669248812, 13, 2.661667532054568, 421]"
24,0.06449531250000004,"[1.2856412516587121, 12, 2.265805547397955, 476]"
25,0.01840937500000001,"[1.1389507625271944, 13, 2.551368651616407, 491]"
26,0.027587499999999987,"[0.6560415166409942, 14, 2.539498911091745, 417]"
27,0.005671875000000003,"[1.2246119008473788, 14, 2.8565554174724026, 407]"
28,0.011589062499999997,"[1.2658081143979385, 13, 2.873773937391397, 477]"
29,0.017259375000000007,"[1.028813928797712, 11, 2.810387048941964, 441]"
30,0.009676562500000001,"[1.3873255099654695, 15, 2.568552320650352, 403]"
31,0.013562499999999995,"[0.990089633677589, 12, 2.414628496465989, 483]"
32,0.0167234375,"[1.043961798569544, 14, 2.6306222910221626, 451]"
33,0.02583125,"[1.3356002620895029, 10, 2.702095673017452, 481]"
34,0.08919843750000002,"[1.3866127598546087, 11, 2.005080445374646, 489]"
35,0.024576562499999996,"[1.3244379766480616, 14, 2.4654118399245792, 462]"
36,0.024106250000000017,"[1.0873882557693288, 15, 2.366345625153548, 416]"
37,0.0112125,"[1.25603329535874, 11, 2.7952738177406093, 446]"
38,0.03377812500000002,"[1.076843029671386, 12, 2.3647142489742334, 467]"
39,0.06551093749999999,"[1.3287577680964209, 14, 2.123712418693306, 456]"
40,0.014815625000000013,"[1.068482845021538, 15, 2.7290731939527975, 412]"
41,0.03526093750000002,"[1.3604046980451212, 14, 2.597377942905333, 437]"
42,0.016765625000000006,"[0.8863327892366684, 14, 2.3452580774964358, 452]"
43,0.027510937499999992,"[1.4472892295351323, 14, 2.71846570571361, 424]"
44,0.018317187499999988,"[0.7573457565022053, 11, 2.3219630252397714, 455]"
45,0.008234374999999993,"[0.7481792055125331, 11, 2.4057106643109902, 483]"
46,0.037771874999999996,"[0.8140000502885518, 12, 2.928177453360624, 452]"
47,0.020517187500000016,"[0.8828636305421645, 12, 2.2094730879783473, 447]"
48,0.034595312499999996,"[1.4756880939379937, 13, 2.93920728314772, 417]"
49,0.0401234375,"[1.0070589076931893, 11, 2.161875191401942, 400]"
50,0.036992187499999996,"[1.3175892193869085, 12, 2.327553011015224, 493]"
51,0.04785468749999998,"[1.0631338073507015, 11, 2.182185745737618, 456]"
52,0.02422343750000001,"[1.099430913483208, 14, 2.6898892630080176, 490]"
53,0.013957812500000005,"[1.0461179431733139, 13, 2.5740961611608646, 490]"
54,0.028484375,"[0.646654632275127, 10, 2.532783811896094, 441]"
55,0.06140624999999999,"[0.5843184403433118, 14, 2.6504703598732196, 432]"
56,0.028359374999999982,"[1.3246026628892658, 12, 2.476850696625241, 461]"
57,0.046448437499999995,"[1.4964592385474844, 11, 2.34336350800955, 443]"
58,0.011070312500000002,"[0.9133513045129115, 11, 2.645451948722714, 495]"
59,0.012184374999999997,"[0.5425967546535494, 15, 2.2537796880749683, 488]"
60,0.010028125000000013,"[1.2458776012134791, 14, 2.9129110813251784, 490]"
61,0.015803125000000008,"[1.4378947274456713, 14, 2.9665950187862165, 430]"
62,0.02923125000000001,"[1.109315695456643, 11, 2.4031051761288644, 487]"
63,0.017801562500000007,"[1.0993822830906095, 15, 2.8958576667478444, 483]"
64,0.010935937500000003,"[1.207231111946733, 11, 2.8979877194440062, 489]"
65,0.021223437500000008,"[0.7734798784817161, 13, 2.7784790401383646, 498]"
66,0.01949062499999999,"[0.8639419610914929, 10, 2.6103673751687477, 489]"
67,0.020935937499999998,"[0.5537454696999601, 14, 2.3448476826997133, 434]"
68,0.03686562499999999,"[0.6627940967983482, 14, 2.6757663692255185, 401]"
69,0.09402656250000002,"[1.2957966725859813, 10, 2.13847728442452, 458]"
70,0.038909375000000024,"[1.1094168712020127, 13, 2.3041486654823427, 466]"
71,0.011303125000000002,"[0.9600760026331856, 14, 2.6835216622444498, 420]"
72,0.030789062500000006,"[0.7671781080982571, 11, 2.759731621289414, 483]"
73,0.0193734375,"[1.3681842626159995, 10, 2.7392640970269717, 453]"
74,0.012760937499999998,"[0.8933668750215562, 11, 2.8748319668450786, 478]"
75,0.02385312499999999,"[1.377346261389081, 15, 2.8810682150405458, 404]"
76,0.016184375000000008,"[1.264829679882831, 13, 2.690696165185442, 422]"
77,0.0180734375,"[1.0505856664730144, 10, 2.467567631736352, 411]"
78,0.024935937499999998,"[1.3308647671146563, 15, 2.6923327908050148, 411]"
79,0.05685468749999999,"[0.6388437492935785, 14, 2.8846893922853263, 456]"
80,0.017065625000000015,"[0.8168287667286498, 12, 2.7753766149928634, 493]"
81,0.022054687500000017,"[1.1504105091798986, 13, 2.279586518253755, 491]"
82,0.0049968750000000065,"[0.7183914827211677, 14, 2.4179977501758216, 420]"
83,0.009601562500000011,"[0.7398488593557753, 13, 2.589452686205707, 492]"
84,0.017896875000000007,"[1.2023795987226737, 15, 2.939983292585348, 432]"
85,0.019353125000000002,"[0.5885389103170727, 13, 2.3894485037182713, 462]"
86,0.012415625,"[0.904344256696926, 12, 2.621095795248205, 462]"
87,0.05583593750000004,"[1.488624147469366, 15, 2.1087173754014406, 453]"
88,0.014304687499999998,"[0.5828259182856136, 14, 2.2763735585367897, 407]"
89,0.023235937499999998,"[0.5140790984645928, 15, 2.31237480310352, 427]"
90,0.060085937499999985,"[0.6528816159977537, 13, 3.0112793232645894, 474]"
91,0.05660624999999998,"[0.5554539406090625, 11, 3.0123139548549576, 493]"
92,0.015906250000000007,"[0.8077798282352862, 14, 2.5965117089982233, 482]"
93,0.03464218750000001,"[1.1989521439589634, 11, 2.403169717193927, 460]"
94,0.020403125000000005,"[0.65596245399196, 10, 2.2589729026057035, 495]"
95,0.05881874999999998,"[1.0360047304685684, 14, 2.0661428540380435, 471]"
96,0.11455625000000003,"[1.4967964290654743, 13, 2.100560230149914, 485]"
97,0.04386875000000001,"[0.9159712682524898, 13, 2.044839940067073, 482]"
98,0.013187500000000008,"[1.168022530226351, 15, 2.9860421631481846, 409]"
99,0.07365156249999999,"[0.5180238700300827, 12, 3.041376459448633, 474]"
