,error,"[learn_rate, num_hidden_nodes, weight_range, beta]"
48,0.007148171,"[1.4096829139904368, 12, 3.1584183493785862, 172]"
2,0.007833626,"[0.9487671516321472, 14, 2.9691675267824444, 121]"
22,0.012841655,"[1.186201548721739, 11, 2.6189017388994578, 22]"
6,0.019755794,"[2.1908016814737117, 4, 2.999098476978004, 464]"
5,0.023791004,"[1.4424168392986454, 3, 2.4181328961592996, 440]"
19,0.02431306,"[3.0398417561665267, 14, 2.90212609945611, 397]"
20,0.027005938,"[3.2380262929069135, 14, 2.918473139669903, 47]"
39,0.028344328,"[2.169529732768403, 3, 2.5037933392277214, 137]"
21,0.028399874,"[0.7652439197352308, 10, 1.4172677963062483, 307]"
40,0.035714095,"[2.364250559183081, 3, 2.4887668907683276, 445]"
1,0.036736754,"[1.8364706646665048, 11, 2.9352178865114555, 143]"
34,0.037336538,"[0.8163665336421593, 6, 2.603156581487587, 56]"
37,0.040146757,"[2.3779544486964728, 2, 3.1839862414857425, 482]"
0,0.041363576,"[1.6886469250533254, 7, 2.3166780643159632, 46]"
35,0.043964111,"[2.07695540843903, 11, 2.648506730204197, 357]"
10,0.050089143,"[0.6186490743247305, 13, 1.140810641912477, 106]"
45,0.052540193,"[3.137918956884968, 14, 2.6737413694345733, 194]"
38,0.059203837,"[0.7378829627865948, 7, 3.041012051840914, 422]"
14,0.060004211,"[1.131651674922691, 4, 2.5893934212090817, 479]"
18,0.068484283,"[0.8092848427898583, 13, 3.4124322633842974, 452]"
27,0.070283224,"[1.165018875904286, 5, 1.2105561969634688, 136]"
15,0.077193506,"[2.6189641498968297, 13, 2.231221320619027, 358]"
13,0.079096538,"[0.7272491899738645, 12, 0.9524302168463593, 244]"
33,0.091198904,"[0.6905011311393245, 10, 3.3171728667845928, 285]"
43,0.093480236,"[1.2439893256182286, 15, 1.7431307538358172, 136]"
7,0.102369634,"[1.079042195716975, 6, 0.9617264328082797, 269]"
47,0.118235126,"[2.2347703212733303, 5, 1.5966817786825391, 491]"
28,0.125625665,"[0.7724291523961295, 3, 2.2577165955344154, 313]"
36,0.130166114,"[1.7651522751606956, 14, 1.7401186838455218, 355]"
29,0.133905347,"[3.301516189163644, 2, 1.2653132287433826, 368]"
25,0.13452239,"[0.5955195621618012, 9, 0.8489902281199878, 189]"
46,0.154461907,"[1.2964610958327496, 13, 0.8145328904827871, 351]"
23,0.156338208,"[0.8799590321687332, 2, 1.4968908808810577, 150]"
12,0.162507016,"[1.8778380262998655, 8, 0.7676780170983999, 74]"
30,0.167148532,"[1.4986219845540323, 13, 1.073088314243777, 16]"
41,0.189858321,"[3.2603586748888436, 6, 1.9276926506896968, 405]"
42,0.190334322,"[0.8217035885471541, 8, 0.6492238172322653, 82]"
49,0.193269986,"[0.8089413998004749, 3, 1.1542468536104769, 210]"
11,0.206283624,"[2.7906261592589474, 5, 0.5939133293169705, 300]"
26,0.210066258,"[2.7182039173599097, 13, 1.5779071564692988, 457]"
16,0.213007893,"[2.11184074758827, 13, 1.510394520510473, 383]"
17,0.215576385,"[2.687452561117714, 11, 1.604019985066814, 402]"
24,0.218187331,"[2.1691707830516602, 9, 1.0856510171397133, 309]"
9,0.221133791,"[2.332306740865961, 14, 1.5048178927564593, 288]"
31,0.228133286,"[2.192758422784627, 9, 1.1336171453500277, 180]"
44,0.228228276,"[3.100258577729705, 12, 1.474225241167705, 464]"
8,0.242210801,"[2.8788041242875773, 9, 0.5804685389599517, 30]"
4,0.258731896,"[3.019663236028439, 7, 1.13931952284233, 98]"
32,0.272139218,"[2.3387939962889908, 15, 1.1062490565610208, 306]"
3,0.274629495,"[3.2698056577100663, 10, 0.6716063744886258, 207]"
