,error,"[learn_rate, num_hidden_nodes, weight_range, beta]"
16,0.104818016,"[2.447718799033378, 7, 2.6462765418566017, 468, 492]"
26,0.122821236,"[1.9654755567439355, 9, 2.1786387435824643, 59, 365]"
31,0.142774479,"[1.9163065300168753, 7, 2.282879252036664, 3, 415]"
49,0.147527265,"[2.5405335912705564, 11, 2.403830092324922, 131, 481]"
27,0.153879834,"[2.390828684197637, 11, 2.268540381042175, 144, 397]"
24,0.16401943,"[2.7123887335154238, 10, 2.2695348763162535, 314, 386]"
35,0.1655556,"[2.0591979939576768, 13, 2.1940883307071752, 438, 497]"
23,0.165674729,"[2.7978829125093956, 12, 2.1680841089291345, 393, 492]"
7,0.167445813,"[2.745404549003326, 11, 2.02550277270607, 266, 342]"
14,0.16934843,"[2.576106347135356, 6, 2.4818216199774423, 459, 460]"
21,0.171774071,"[2.4457765292159803, 9, 2.0787802881277386, 368, 324]"
8,0.184773475,"[2.979480900234832, 9, 2.1048184844921334, 457, 422]"
29,0.189080238,"[2.888601625219722, 14, 2.010425201860702, 405, 409]"
13,0.192817988,"[1.8062161816942073, 10, 2.4282798184503127, 198, 368]"
43,0.193237374,"[2.7303478807037025, 6, 2.1749285603104993, 194, 416]"
33,0.213032304,"[2.3093172549386765, 6, 2.9984278269804747, 412, 376]"
22,0.21445399,"[2.795871412134899, 11, 2.576167240857947, 439, 469]"
9,0.220501823,"[1.8181351007690107, 12, 1.8869915766542045, 405, 404]"
44,0.222470928,"[1.714062991694882, 9, 2.5623645101429875, 24, 317]"
5,0.22989946,"[2.964803505040237, 13, 2.1089144782731957, 143, 390]"
20,0.230373982,"[1.542955656689323, 8, 2.493805984236512, 270, 495]"
11,0.235932074,"[1.6317092900351804, 13, 1.6961613301342768, 433, 396]"
34,0.236310197,"[2.4476350732478447, 15, 2.4348396196403828, 156, 327]"
37,0.239577058,"[1.598292727753947, 12, 1.7225399016288647, 101, 351]"
42,0.241917168,"[1.6077873835718408, 14, 1.724370868011949, 317, 363]"
3,0.245469627,"[1.916694585024655, 13, 2.5755601704196494, 193, 317]"
38,0.252300471,"[2.830296113275894, 11, 1.7947758253897668, 319, 444]"
15,0.263823017,"[2.643660533730931, 14, 2.425639816665887, 303, 320]"
47,0.265217503,"[1.5852956885037481, 11, 1.7241796123042668, 73, 317]"
36,0.272827386,"[2.178386223234877, 14, 2.3933906290412503, 215, 357]"
41,0.275590182,"[2.1912103991953003, 14, 1.7310713299792855, 131, 352]"
25,0.2788182,"[2.243542663884471, 7, 1.8543135335549956, 470, 333]"
1,0.282006158,"[2.2929568257163977, 15, 2.441615840008965, 137, 365]"
17,0.299169494,"[2.5473322149561617, 10, 1.712634594127871, 200, 361]"
18,0.317986122,"[1.88885606508857, 8, 1.7209405319584925, 185, 414]"
39,0.33228188,"[2.913564030381224, 13, 2.6136719292141404, 85, 377]"
45,0.353223325,"[2.5658199452738453, 10, 1.7207392120870857, 70, 405]"
0,0.357678898,"[2.5574898415559955, 13, 2.8185719272441383, 55, 475]"
32,0.363643596,"[1.9272995102115478, 10, 1.6256853026109035, 253, 315]"
46,0.368437486,"[2.6462648852996393, 7, 1.656072814434208, 171, 392]"
28,0.369951944,"[1.8346944434015042, 8, 1.6992115062462618, 9, 431]"
10,0.38665777,"[1.520998022219989, 12, 1.502241071362428, 84, 375]"
19,0.395126901,"[1.7792112548984935, 7, 1.7338859528787907, 338, 416]"
48,0.422356625,"[2.6112055098163323, 9, 1.5341559119225123, 411, 400]"
4,0.432975206,"[2.3865337990716826, 12, 2.9697694680588045, 341, 408]"
12,0.440136659,"[1.8929065744432927, 6, 1.7595992703187324, 308, 444]"
6,0.453212146,"[1.5963009084181132, 15, 2.648181731704506, 112, 405]"
2,0.464277033,"[2.8503191411619904, 11, 2.909088313308277, 4, 326]"
40,0.476995121,"[1.5860662634208573, 11, 2.751477593630262, 15, 464]"
30,0.536808939,"[1.6300059457389415, 10, 2.928526071601652, 53, 378]"
