,error,"[learn_rate, num_hidden_nodes, weight_range, beta]"
23,0.125636594,"[2.6292710418589493, 11, 2.458570585051188, 50]"
45,0.131583703,"[1.526224952820187, 13, 1.9040171126499037, 98]"
2,0.131923,"[2.928072182643052, 8, 2.6340974997251267, 177]"
10,0.132182219,"[2.763696207379642, 10, 2.2924668873705745, 297]"
37,0.146632297,"[2.260188248640554, 12, 2.132152269665453, 40]"
9,0.147088625,"[2.1802348099098774, 13, 2.0289887585220363, 297]"
12,0.153324797,"[2.8058062182695, 7, 2.3020428189112296, 105]"
33,0.156896828,"[2.9560981739962697, 11, 2.0127363529113316, 69]"
35,0.159275812,"[2.4304827753047507, 8, 2.6501588329940025, 308]"
4,0.166059172,"[2.4931195916018503, 14, 1.935857320432219, 228]"
24,0.166509016,"[1.6906341498401836, 13, 2.15393778433168, 81]"
18,0.168904641,"[1.6970047571707774, 11, 1.959766987037452, 266]"
41,0.177867609,"[2.9388659120716687, 14, 2.210624278366539, 53]"
31,0.181031437,"[2.2334605401796055, 8, 2.1097218472009054, 316]"
16,0.186182375,"[2.9923956266879492, 8, 2.8646164371472036, 448]"
30,0.1934255,"[1.909822437512275, 13, 2.3652212949813007, 112]"
19,0.194823312,"[1.8491775954958851, 7, 2.040907673929558, 314]"
42,0.199018,"[2.039622193672389, 12, 2.6114487725914928, 205]"
43,0.206058625,"[2.4481313056231615, 13, 2.5155232271434342, 401]"
3,0.2268555,"[2.434015816179076, 11, 1.769168953094844, 59]"
49,0.227585266,"[2.972551668565326, 9, 1.972030290996213, 225]"
17,0.227672375,"[2.660902355737319, 15, 2.3511710241841612, 259]"
20,0.24038175,"[2.358443490699194, 11, 2.6046137342662603, 455]"
32,0.243174719,"[2.6442475344078518, 13, 2.551502127599508, 114]"
13,0.246485109,"[2.915910699599905, 15, 2.151111428494452, 159]"
34,0.259635031,"[1.5875291396595719, 7, 1.9477932907678017, 432]"
5,0.26801175,"[2.4124091935554093, 11, 1.6591425217373716, 487]"
15,0.268839641,"[1.9254012247226049, 8, 2.7729083100379395, 339]"
25,0.271494797,"[2.7252721051803563, 11, 1.6717894155821194, 237]"
14,0.2826655,"[1.516988567520383, 12, 2.4949770601647825, 106]"
40,0.285090344,"[1.9836967266855954, 7, 1.9275089821120805, 137]"
29,0.286791125,"[2.213184498992794, 13, 1.6100367687904917, 321]"
6,0.288277844,"[2.1004326346007995, 7, 1.880462238430022, 341]"
7,0.302151984,"[1.8967647223355812, 12, 1.5998669097440308, 134]"
38,0.322226984,"[1.536236527083948, 7, 2.831434814361582, 200]"
47,0.330468391,"[1.518043248459355, 11, 2.586254686781965, 298]"
39,0.331370344,"[1.9150541844968418, 15, 2.5201041995818128, 496]"
8,0.333222688,"[2.1706186979071305, 7, 1.8418692120880982, 457]"
11,0.386153156,"[2.379152955434551, 9, 1.5333532160135155, 78]"
48,0.391182688,"[2.500711454858755, 10, 2.920979077237701, 482]"
44,0.392881281,"[2.299256285249727, 7, 1.7155886900415664, 198]"
27,0.403114875,"[2.381249582365185, 12, 1.5706906417943802, 432]"
22,0.403544016,"[1.5325667720032967, 8, 2.8844511811335023, 148]"
1,0.420884562,"[1.675307017058736, 8, 1.628275291999998, 481]"
21,0.47191925,"[2.180725755913338, 9, 1.547285125438855, 237]"
28,0.490494719,"[2.811598706791569, 7, 1.580218941683077, 448]"
26,0.497873781,"[2.0764688592805425, 8, 1.5724986804582373, 260]"
46,0.557791984,"[1.775399328488117, 6, 1.6490085668287593, 397]"
0,0.636547609,"[1.687735205583546, 12, 2.9421954732098703, 282]"
36,0.713682609,"[1.5326591438455228, 14, 2.852852664383291, 257]"
