,error,"[learn_rate, num_hidden_nodes, weight_range, beta]"
28,0.170517163,"[2.2587065948008056, 14, 2.268244551762236, 89]"
35,0.172863235,"[2.536129669318399, 12, 2.4310466716797032, 76]"
37,0.199293958,"[2.825902554100314, 8, 2.2987857142295463, 57]"
11,0.203514665,"[2.27375564565944, 12, 2.0491492396284836, 214]"
15,0.206996168,"[2.4979557069337295, 10, 2.4472957004254923, 443]"
23,0.21432964,"[2.421182107491462, 10, 2.2296426692080815, 226]"
16,0.226802671,"[2.855461415268809, 14, 2.157485392264288, 248]"
30,0.232489144,"[1.849773635102903, 11, 2.250867107816661, 334]"
12,0.239221922,"[1.8837113670427486, 10, 2.1315015055669946, 306]"
36,0.257995765,"[2.508867277966085, 13, 1.9048340714293945, 149]"
17,0.259333008,"[1.8306050812223083, 7, 2.770238973211036, 223]"
3,0.262139166,"[2.041005589744584, 8, 2.6124765176903573, 243]"
26,0.262935257,"[2.497860946469751, 14, 2.2869158389280706, 240]"
18,0.26494127,"[2.794735252704112, 14, 1.8668131009168816, 223]"
49,0.265431127,"[2.4275418044377104, 9, 2.789411222652644, 124]"
45,0.271998399,"[1.8166580476182375, 14, 1.8568700301171737, 56]"
34,0.276602564,"[2.1678876931192854, 11, 2.037286135030892, 11]"
24,0.286025503,"[2.3357352189690443, 7, 2.232840724225119, 83]"
44,0.288266166,"[2.328427772945948, 13, 1.9353319960089337, 339]"
33,0.293659436,"[1.768702087478914, 12, 1.8489233510624699, 86]"
32,0.296008904,"[2.369551888566046, 6, 2.7208341511162404, 283]"
14,0.30246937,"[2.952149947801234, 14, 2.4693476062843374, 418]"
47,0.307960022,"[2.764498314347996, 15, 1.9278397799092555, 36]"
1,0.310843693,"[2.5356974140876507, 13, 2.40813728418367, 119]"
29,0.312456393,"[1.9403195438301624, 11, 1.8856715019364862, 117]"
21,0.312769285,"[1.8991680895222343, 12, 1.9676264106448824, 232]"
38,0.31640155,"[1.678542058550304, 14, 2.0272406228713953, 241]"
27,0.320000094,"[1.788564659965244, 12, 2.5831915801560377, 223]"
10,0.33151861,"[2.69159581103024, 12, 1.8101410433864848, 137]"
43,0.342534999,"[2.2507722213609087, 11, 1.8300753983232476, 128]"
31,0.34342742,"[1.714081572589646, 13, 1.838069865606022, 133]"
0,0.351304368,"[2.8950692532852944, 8, 1.8571634996862745, 66]"
4,0.352690367,"[1.8833747944767754, 8, 2.8716540006538755, 156]"
40,0.366867853,"[2.8935893957392356, 13, 1.83188299413713, 166]"
9,0.369484305,"[2.748600622552666, 8, 1.918620103101577, 196]"
5,0.373363956,"[2.4454607760711413, 12, 1.7238804045494296, 344]"
7,0.373968924,"[2.8230131244546186, 12, 1.6423036239872812, 376]"
41,0.378984525,"[1.7525093724063452, 7, 2.8086471365957966, 444]"
6,0.430661685,"[1.7188660454312352, 8, 2.000550147649604, 368]"
42,0.443276274,"[1.8949275210122745, 7, 2.9371996954543174, 315]"
48,0.443580688,"[1.9786720756258904, 13, 1.7052857528229417, 386]"
46,0.446939486,"[2.220276459820644, 14, 2.8722295539336042, 444]"
39,0.495035348,"[1.766552804627542, 11, 2.874902472167955, 181]"
22,0.504817859,"[2.592333356673246, 12, 1.583764670309245, 490]"
19,0.532929479,"[2.4274322484095068, 13, 1.5344190720923652, 93]"
20,0.540787053,"[2.655369451211809, 12, 1.7373770914123967, 1]"
25,0.547814711,"[2.363785981165461, 14, 1.537432074733658, 491]"
8,0.564728541,"[2.5187597710490057, 7, 1.660273661657012, 364]"
2,0.700732824,"[2.374114682216912, 9, 1.5800971300369897, 404]"
13,0.861350697,"[1.837798064739206, 8, 1.5114026296163063, 276]"
