learn_rate,num_hidden_nodes,weight_range,beta,c,error
2.5,8,2.5,300,300,0.945359275
1.5,8,2.5,100,100,1.034003074
2.5,8,2.5,100,100,1.363830644
2.5,8,1.5,100,100,1.391855994
3,8,3,0,250,1.394850171
3,8,3,0,250,1.394850171
3,8,3,0,250,1.394850171
2.5,14,1.5,100,300,1.518664469
3,8,3,250,250,1.529908568
3,8,3,250,250,1.529908568
3,8,3,250,250,1.529908568
2.5,14,2.5,100,300,1.59864728
2.5,8,2.5,100,300,1.660001087
2.5,11,1.5,100,300,1.727481498
2.5,8,1.5,100,300,1.773988856
1.5,8,2.5,300,100,1.848788901
2.5,8,2.5,300,100,1.980610859
1.5,14,1.5,300,100,1.989848528
1.5,14,1.5,100,100,2.031642262
1.5,14,1.5,100,300,2.037753997
1.5,8,1.5,300,300,2.039305905
1.5,8,1.5,100,300,2.047394147
2.5,11,2.5,100,300,2.080718717
1.5,8,2.5,100,300,2.141163302
2.5,8,1.5,300,300,2.142022861
2.5,14,2.5,100,100,2.171280112
2.5,11,1.5,100,100,2.284911309
2.5,11,1.5,300,100,2.402771551
2.5,14,1.5,300,100,2.409937297
2.5,14,1.5,300,300,2.477087393
1.5,11,1.5,100,300,2.507558547
1.5,14,1.5,300,300,2.574558634
3,2,3,0,250,2.679138759
3,2,3,0,250,2.679138759
3,2,3,0,250,2.679138759
2.5,8,1.5,300,100,2.751455688
1.5,11,1.5,100,100,2.760201685
1.5,11,1.5,300,300,2.778538547
2.5,11,2.5,300,300,2.781195972
3,8,0.5,0,250,2.79496477
3,8,0.5,0,250,2.79496477
3,8,0.5,0,250,2.79496477
1.5,11,1.5,300,100,2.817141108
2.5,14,2.5,300,100,2.927075716
3,8,0.5,250,250,3.079680271
3,8,0.5,250,250,3.079680271
3,8,0.5,250,250,3.079680271
3,2,3,250,250,3.096749245
3,2,3,250,250,3.096749245
3,2,3,250,250,3.096749245
1.5,8,2.5,300,300,3.09918538
2.5,11,1.5,300,300,3.103689166
2.5,14,2.5,300,300,3.123562112
2.5,14,1.5,100,100,3.594234817
1.5,14,2.5,100,300,3.810899829
1.5,11,2.5,300,100,3.838232591
1.5,8,1.5,300,100,3.842100602
1.5,14,2.5,300,100,3.870396335
1.5,11,2.5,100,300,3.903776603
3,2,0.5,0,250,4.174306047
3,2,0.5,0,250,4.174306047
3,2,0.5,0,250,4.174306047
1.5,8,1.5,100,100,4.3983521
1.5,11,2.5,100,100,4.40121556
1.5,11,2.5,300,300,4.486188899
2.5,11,2.5,100,100,4.594098328
3,2,0.5,250,250,5.082306661
3,2,0.5,250,250,5.082306661
3,2,0.5,250,250,5.082306661
0.5,8,3,0,250,5.108313817
0.5,8,3,0,250,5.108313817
0.5,8,3,0,250,5.108313817
1.5,14,2.5,300,300,5.239757804
0.5,14,3,0,250,5.367601984
0.5,14,3,0,250,5.367601984
0.5,14,3,0,250,5.367601984
2.5,11,2.5,300,100,5.405894672
0.5,14,3,250,250,5.520669932
0.5,14,3,250,250,5.520669932
0.5,14,3,250,250,5.520669932
0.5,14,0.5,0,250,5.813225237
0.5,14,0.5,0,250,5.813225237
0.5,14,0.5,0,250,5.813225237
0.5,8,3,250,250,5.880327798
0.5,8,3,250,250,5.880327798
0.5,8,3,250,250,5.880327798
0.5,2,3,0,250,6.352817612
0.5,2,3,0,250,6.352817612
0.5,2,3,0,250,6.352817612
1.5,14,2.5,100,100,6.600836804
0.5,8,0.5,0,250,6.826878888
0.5,8,0.5,0,250,6.826878888
0.5,8,0.5,0,250,6.826878888
0.5,2,3,250,250,6.875453894
0.5,2,3,250,250,6.875453894
0.5,2,3,250,250,6.875453894
0.5,14,0.5,250,250,7.043636251
0.5,14,0.5,250,250,7.043636251
0.5,14,0.5,250,250,7.043636251
0.5,8,0.5,250,250,7.685714953
0.5,8,0.5,250,250,7.685714953
0.5,8,0.5,250,250,7.685714953
0.5,2,0.5,0,250,8.55934177
0.5,2,0.5,0,250,8.55934177
0.5,2,0.5,0,250,8.55934177
0.5,2,0.5,250,250,10.17825492
0.5,2,0.5,250,250,10.17825492
0.5,2,0.5,250,250,10.17825492
0.5,2,0.5,0,0,17.183363
0.5,2,0.5,250,0,17.183363
0.5,2,3,0,0,17.183363
