Type,Subject #,criterion reached?,Completed Trials,Mean Accuracy (Ext),Block 1,2,3,4,5,6,7,8,,,,,,,,,,,,,,,,
2,101,0,64,0.43750,0.25,0.63,0.50,0.38,0.63,0.38,0.25,0.50,,,,,,,,,,,,,,,,
2,103,1,56,0.73438,0.38,0.50,0.50,0.63,0.88,1.00,1.00,1.00,,,,,,,,,,,,,,,,
2,104,0,64,0.73438,0.50,0.75,1.00,0.88,0.50,0.50,0.88,0.88,,,,,,,,,,,,,,,,
2,104,0,64,0.51563,0.50,0.63,0.00,0.63,0.50,1.00,0.50,0.38,,,,,,,,,,,,,,,,
2,105,1,32,0.84375,0.38,0.38,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,
2,105,1,24,0.93750,0.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,
2,106,0,64,0.40625,0.25,0.50,0.38,0.25,0.38,0.63,0.25,0.63,,,,,,,,,,,,,,,,
2,106,0,64,0.57813,0.25,0.50,0.25,0.50,0.63,0.75,0.75,1.00,,,,,,,,,,,,,,,,
2,107,1,32,0.89063,0.50,0.63,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,
2,108,0,64,0.51563,0.38,0.50,0.38,0.63,0.50,0.25,0.63,0.88,,,,,,,,,,,,,,,,
2,109,1,24,0.98438,0.88,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,
2,109,1,48,0.85938,0.63,0.88,0.63,0.75,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,
2,110,1,24,0.96875,0.75,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,
2,110,0,64,0.56250,0.38,0.25,0.63,0.88,0.50,0.50,0.63,0.75,,,,,,,,,,,,,,,,
2,111,0,64,0.67188,0.50,0.63,0.75,0.63,0.88,0.75,0.50,0.75,,,,,,,,,,,,,,,,
2,112,1,24,0.95313,0.63,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,
2,113,0,64,0.42188,0.50,0.25,0.13,0.50,0.38,0.63,0.63,0.38,,,,,,,,,,,,,,,,
2,114,1,24,0.96875,0.75,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,
2,114,1,48,0.64063,0.13,0.13,0.38,0.50,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,
2,115,0,64,0.78125,0.38,0.75,0.63,0.75,1.00,0.88,1.00,0.88,,,,,,,,,,,,,,,,
2,117,0,64,0.64063,0.75,0.50,0.25,0.75,0.63,0.50,0.75,1.00,,,,,,,,,,,,,,,,
2,117,1,48,0.89063,0.50,0.75,1.00,0.88,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,
2,118,0,64,0.84375,0.50,0.75,1.00,0.88,0.88,0.88,1.00,0.88,,,,,,,,,,,,,,,,
2,119,1,24,0.98438,0.88,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,
