,error,"[learn_rate, num_hidden_nodes, weight_range, beta]"
0,2.8645277082098213,"[3.0421208985006225, 10, 1.3367634527442092, 95, 129]"
1,3.4650978131407353,"[4.205046605957804, 2, 3.1629177849815786, 77, 98]"
2,5.3096560346646084,"[2.1261410799098814, 4, 2.966909856237546, 153, 395]"
3,5.603810399059801,"[4.6686043150484595, 13, 2.347100244221792, 417, 333]"
4,3.342361245538501,"[3.7854616440572086, 11, 3.43946256140934, 113, 58]"
5,3.030623896515535,"[2.9701427935426863, 17, 0.8420274397011032, 486, 65]"
6,10.840374509522583,"[0.7727452664934025, 3, 1.223177211293789, 460, 6]"
7,8.518942592380474,"[2.8338021253574954, 14, 4.327669696523074, 230, 405]"
8,3.1938769579728428,"[3.444648356170429, 7, 0.6647681720079103, 247, 182]"
9,10.110235130180124,"[1.7028203639120651, 12, 3.9994077933073706, 219, 203]"
10,3.82425416496245,"[2.197133015444513, 8, 0.8411301045295179, 237, 179]"
11,5.055354765910639,"[2.6121947613496888, 22, 2.393370002712378, 34, 230]"
12,5.261172620974896,"[2.495581603158171, 21, 2.2077815119508624, 329, 131]"
13,8.385123264126525,"[0.959713467464128, 17, 2.464576804124359, 153, 439]"
14,3.99978757169082,"[2.578219826843704, 18, 2.5852597379193827, 63, 172]"
15,8.97605776450976,"[3.0166940922807646, 9, 5.203515251424185, 108, 464]"
16,5.12723799760678,"[4.925878034566247, 15, 2.2892535926522526, 332, 388]"
17,14.445174932937586,"[4.275244004297929, 22, 4.161642011806725, 159, 77]"
18,3.688794266259227,"[4.914505316007101, 6, 3.471895312039923, 426, 99]"
19,6.219773339169211,"[3.5696539205194266, 1, 4.4387513491368304, 10, 41]"
20,17.029282921673243,"[3.2791961675301544, 9, 5.03785281003789, 108, 82]"
21,9.36927948435417,"[1.4957799676753933, 18, 4.6955743016572145, 115, 228]"
22,7.618482566377828,"[3.7152215085578004, 19, 2.1483236829294166, 11, 365]"
23,7.725278821442458,"[3.0319995908883324, 15, 2.890115626028473, 188, 278]"
24,1.3953707213553004,"[3.128169149709358, 10, 1.9450568045853187, 20, 407]"
25,8.326309245735924,"[2.541729667846669, 15, 4.7885526070282785, 233, 142]"
26,7.251511069392985,"[3.5202557602321027, 11, 3.6083071693748137, 426, 449]"
27,4.453441704616145,"[3.217633054147515, 11, 3.0787152449949757, 102, 193]"
28,9.322991413788731,"[0.3310871339894037, 22, 3.1843624302766838, 109, 289]"
29,8.491761483703636,"[1.996168487579131, 9, 3.985074017841111, 371, 491]"
30,3.5713469961914477,"[1.2490914983222299, 10, 4.2239563692303985, 202, 150]"
31,5.614359268494894,"[2.0977822844902585, 22, 2.9284170549067383, 328, 30]"
32,3.5932541432724414,"[2.7597473187492243, 22, 1.2783900246500863, 307, 444]"
33,8.902292806159593,"[0.751569679330541, 11, 3.553442649967274, 187, 423]"
34,1.732653221260716,"[4.153756976180498, 8, 0.8159698666129396, 167, 443]"
35,6.266761253490747,"[1.2142269125367418, 8, 0.7603247760769996, 238, 416]"
36,1.3030193195741209,"[1.4788969171300612, 11, 1.9745606850305712, 313, 284]"
37,6.765538674428529,"[0.6465337610214942, 18, 4.6709860796565215, 152, 256]"
38,8.400949497469698,"[3.559902305973246, 10, 4.56827029906288, 308, 278]"
39,2.8640957097691717,"[1.6183053294239362, 25, 1.3138962129243683, 121, 398]"
40,8.129617021857014,"[0.5902377328504742, 6, 4.766450455102401, 209, 61]"
41,3.7131099088185584,"[0.4129899684703837, 23, 1.8813993510832403, 244, 359]"
42,7.028580933287763,"[2.961979746635549, 8, 3.822040963617867, 479, 479]"
43,2.804047658110213,"[3.7716998421821453, 17, 1.2795218344096613, 6, 437]"
44,2.010978078030345,"[1.5543354321600387, 25, 1.76258171027502, 496, 327]"
45,13.036424734045625,"[4.08991183589039, 24, 2.911591733227686, 481, 369]"
46,4.5790758829383265,"[4.915848873874583, 13, 1.5651240873510428, 268, 316]"
47,4.5695250136057615,"[1.6331168859649972, 25, 3.8119970101875174, 376, 167]"
48,12.452873181737035,"[2.0975220105476002, 20, 4.219899752999476, 482, 481]"
49,10.658525162661487,"[0.23281532358855792, 24, 2.2795494053471037, 88, 249]"
50,11.436917403625078,"[1.8959575359439902, 16, 3.744734600167403, 365, 197]"
51,6.816815407864401,"[0.3823678463022724, 2, 3.263267495399653, 33, 500]"
52,5.049406777028847,"[2.616778208275352, 7, 3.503194519990116, 373, 228]"
53,3.1559202912657893,"[1.8295973311569775, 11, 1.1480738216474302, 40, 325]"
54,9.399629762563267,"[0.961537582302579, 19, 4.0897183227634475, 39, 105]"
55,1.838118035068827,"[4.54447761998063, 7, 1.1744203501268555, 244, 246]"
56,1.677722961550824,"[1.5607938117383875, 12, 1.5157816709425385, 459, 195]"
57,13.858965843128386,"[0.3453702177110285, 19, 4.258397562866848, 143, 52]"
58,8.819859391232908,"[4.591483616855808, 25, 2.8003489927337615, 167, 83]"
59,13.158871541815145,"[0.309299630010711, 10, 5.21138261449901, 120, 285]"
60,12.70061059807256,"[0.5908241823714108, 23, 3.506985154472097, 304, 194]"
61,4.405382935787223,"[4.119747749122815, 3, 4.291804784893899, 404, 83]"
62,8.475330687751242,"[3.9685448677748325, 21, 2.7165089753069553, 41, 82]"
63,2.2649636679708998,"[4.389752780587335, 6, 2.670896248665316, 447, 77]"
64,5.691803564264192,"[1.8876001219942506, 3, 2.6945781082649725, 432, 78]"
65,4.684072287975425,"[2.5237900189501214, 4, 4.561894358805185, 106, 83]"
66,4.556368574774182,"[1.8059711358407677, 11, 2.6513124580523413, 138, 49]"
67,11.568425355041386,"[2.8269853192933785, 25, 4.07926830968072, 193, 227]"
68,8.732352559427992,"[4.403559373969335, 17, 4.148674202755973, 472, 136]"
69,12.391273274611788,"[0.9474009966858823, 4, 3.8046144397815818, 18, 106]"
70,8.94590628136503,"[0.566763061150686, 2, 3.611017460661304, 391, 315]"
71,3.2157368804118196,"[4.898411313515338, 8, 2.2517734321706184, 176, 493]"
72,9.821590343460606,"[4.258636094226566, 23, 2.6869594195370095, 286, 16]"
73,9.008850095185968,"[1.6507741851083464, 22, 5.063680262264398, 388, 106]"
74,2.7867148022383033,"[2.552929688749681, 4, 1.6081956754748254, 464, 258]"
75,11.979052494891265,"[0.38379011609445135, 6, 4.320646770415891, 392, 180]"
76,7.038199058193512,"[0.23549175871101188, 11, 0.8090941245673928, 53, 343]"
77,13.290077839987974,"[2.1677192446831017, 11, 4.975197059329739, 378, 286]"
78,2.5373181191004592,"[2.1241135526557047, 16, 1.0086777875995392, 435, 299]"
79,13.057593171768136,"[1.956769602176671, 17, 5.305630735083972, 488, 235]"
80,1.7397845419895304,"[1.644486278038643, 15, 1.9054660890452884, 292, 264]"
81,6.369224012058667,"[3.8933832467054703, 1, 0.8593533765592589, 464, 366]"
82,5.021798121638161,"[2.5302721456762742, 3, 2.780884288646644, 244, 184]"
83,2.3647449593157295,"[1.8423019066474347, 16, 0.9853320262823908, 354, 401]"
84,14.590655598774832,"[4.635108707384443, 19, 3.932765628546322, 98, 124]"
85,3.9201669209954852,"[3.056453506362416, 16, 4.78182760513452, 81, 454]"
86,16.290478853833086,"[4.089320226277948, 23, 3.768205033607607, 306, 199]"
87,5.755820278782803,"[4.460906921636742, 21, 1.0024341377730175, 39, 355]"
88,9.735233005488755,"[3.0219175866046184, 8, 5.274460430522404, 354, 32]"
89,3.379583620845617,"[4.795369274253208, 15, 0.5945709570505388, 43, 213]"
90,6.55820508155523,"[3.249015967697478, 22, 2.8945349724638794, 7, 248]"
91,4.51179129804899,"[0.8761066587981349, 22, 3.456462002136062, 208, 459]"
92,10.012394721653317,"[4.094929553852354, 16, 2.949028499005265, 472, 412]"
93,5.196457855691147,"[1.830733961979865, 10, 0.6071733220700688, 100, 290]"
94,16.616863436234393,"[3.0033989663281666, 16, 4.665011721807829, 237, 413]"
95,8.981777720370218,"[1.2407550804242247, 24, 3.6336256229368287, 329, 66]"
96,4.190369677062479,"[2.1600830714673944, 16, 2.7019011920122895, 355, 344]"
97,11.262491767332676,"[0.42822701872323443, 23, 4.693584340516106, 422, 192]"
98,8.179381341526712,"[4.556870882657758, 13, 3.213600620711654, 243, 279]"
99,5.261620693761393,"[4.4180434483572535, 9, 4.65140191110272, 215, 436]"
100,4.255838825663475,"[3.888528657940756, 20, 1.5177913807988623, 107, 382]"
101,2.815464153192121,"[2.6525191640917427, 8, 3.504169118391467, 307, 310]"
102,5.601860444565219,"[4.874774182589251, 10, 5.046284915253521, 284, 129]"
103,1.211595264478646,"[4.527306658850455, 8, 2.0675640281299184, 86, 132]"
104,1.9439321998881907,"[2.966688801281654, 12, 3.310472874046182, 438, 340]"
105,12.670234496736633,"[0.5954755845855076, 21, 2.812342816715028, 91, 170]"
106,1.5397168744380347,"[4.799534690638369, 8, 1.4511063008999796, 438, 336]"
107,2.2695708973185686,"[3.518709392470978, 8, 2.7307663405003266, 75, 289]"
108,9.564868468349836,"[2.9199203210176883, 19, 3.6754084856308085, 134, 385]"
109,10.342730608289989,"[0.4304786886077059, 6, 4.989018873048474, 349, 19]"
110,9.826299329935072,"[0.19823210129174254, 5, 0.5552704785949215, 61, 252]"
111,10.387217592563141,"[1.5716037249292245, 16, 5.370602638357411, 107, 413]"
112,3.2335055850243575,"[3.188010445072149, 2, 3.0754121313167126, 398, 38]"
113,10.393655025918568,"[3.2697324711422193, 25, 3.4845398245174835, 88, 311]"
114,15.395986608628593,"[4.2101214112777425, 15, 4.552129487249489, 245, 1]"
115,11.538974688424203,"[4.412353156889923, 10, 4.794825675197503, 63, 364]"
116,2.2225591642314577,"[4.159186778162898, 4, 0.5476716411029282, 133, 429]"
117,8.015351463833781,"[1.7722772271055662, 19, 3.767685550313468, 122, 69]"
118,5.7452290571833,"[2.540363866885087, 22, 2.588639920069606, 95, 244]"
119,3.267823552220632,"[1.5171133022838459, 14, 3.6794658897864023, 33, 249]"
120,2.9610607883173206,"[2.312782613174815, 3, 2.2845673346691746, 247, 119]"
121,6.462565400020219,"[4.854253836315086, 8, 4.932723627316164, 18, 460]"
122,15.52568328724822,"[1.9283523631119077, 15, 4.385324803942337, 116, 196]"
123,6.139170674552875,"[2.488291049161903, 22, 3.42106297962349, 318, 398]"
124,10.115410378957188,"[2.687509657427392, 23, 4.313423186887947, 80, 457]"
125,7.10406509069801,"[4.413678701208607, 14, 2.530698605192029, 375, 52]"
126,8.643069873967338,"[3.9246297590605064, 21, 4.306470502222835, 488, 302]"
127,11.444574548133794,"[4.603840022556416, 21, 4.189752027581987, 329, 63]"
128,4.6774459471568015,"[1.5597513168432477, 5, 2.957856058762994, 241, 293]"
129,6.898536500330017,"[3.6348269500207606, 2, 3.7693004317296075, 311, 161]"
130,17.013114647062324,"[4.860438398082985, 23, 4.47918314052502, 431, 168]"
131,3.285133959195855,"[4.419309273507769, 13, 1.0427089835216743, 230, 453]"
132,3.3979188479359905,"[3.036139195820497, 11, 3.3533007234933527, 108, 308]"
133,12.829181114542926,"[2.692124325526068, 21, 3.39024620935026, 424, 156]"
134,5.951006359073265,"[1.472555983278541, 1, 2.695507820165231, 315, 294]"
135,10.225147180398249,"[0.6745544699797125, 23, 3.0228571234845676, 31, 409]"
136,22.621163058104532,"[3.3426346166984158, 21, 5.330546581565431, 413, 413]"
137,7.634422297428464,"[3.902276506661003, 9, 3.7828104265156344, 267, 116]"
138,3.5550613740489263,"[4.91898033390635, 2, 3.998829483614436, 215, 227]"
139,7.55850364439178,"[1.6100182499183235, 18, 4.714841256195647, 50, 46]"
140,3.3326708440190673,"[2.946655533835219, 19, 0.5740762267967909, 314, 483]"
141,5.265422233059509,"[1.929743204426393, 23, 3.239566610363036, 294, 74]"
142,3.434137371732575,"[2.173479827974537, 5, 2.851866102268305, 142, 168]"
143,6.694383407200269,"[0.28402045859776426, 19, 2.5017210075987064, 404, 191]"
144,14.582364685840314,"[4.973110212731008, 13, 5.383647080832874, 242, 431]"
145,3.79622636854409,"[0.9756721531634781, 8, 3.219581312562372, 229, 269]"
146,8.159037456506294,"[3.6761180355166005, 14, 3.9960111651370656, 287, 342]"
147,4.9643864756004135,"[3.3960112925792068, 7, 4.741766821189233, 184, 487]"
148,10.76034621110998,"[0.41504952926155636, 12, 3.0345260704348025, 249, 204]"
149,7.423020169252453,"[0.2324834061555112, 7, 0.5032762423355909, 121, 90]"
