error,learn_rate,num_hidden_nodes,weight_range,beta,c
0.468437267,2.576735006,11,1.940124834,488,461
0.626136916,2.918118982,13,2.421335012,486,455
0.707821097,2.768503492,11,2.034396814,469,459
0.751667641,2.606107207,12,2.446093978,484,493
0.773221469,2.221356806,12,1.658392972,453,478
0.798296205,2.760257112,13,1.57489332,482,488
0.863439398,2.511660829,13,1.948683269,470,494
0.863777144,2.24471696,10,2.048609966,470,495
0.89463689,2.510075946,13,1.715812099,484,496
0.903600739,2.20183102,14,1.54415714,461,475
0.904589152,2.702641957,11,1.625122211,493,476
0.930375634,2.487157832,10,2.098668667,494,450
0.932428707,2.356981196,11,2.156692483,450,469
0.972784629,2.631373575,12,2.140171541,486,474
0.990634217,2.692063365,11,2.417549118,482,496
0.999676411,2.417427583,13,2.032188916,454,458
1.000525045,2.328765479,12,1.647618392,466,476
1.003186378,2.564201101,12,1.553096372,479,479
1.014687786,2.35086665,12,1.906823092,495,469
1.03096194,2.191040626,13,2.116628618,483,497
1.036579988,2.267119081,13,1.91245227,497,458
1.037039265,2.678268062,10,1.564747009,465,468
1.037155784,2.767366712,11,1.740044552,468,461
1.040538565,2.879715122,11,2.275407595,491,490
1.045138524,2.111758264,12,1.743568808,480,476
1.049629853,2.206171508,13,2.171164605,467,476
1.051611145,2.438095888,15,1.687788411,497,481
1.052052166,2.067815676,11,2.354681949,477,460
1.056299198,2.050684411,13,1.795301669,486,475
1.068365091,2.715995801,11,1.789607285,490,476
1.080814436,2.550011856,12,1.662538782,455,475
1.082379979,2.331766386,13,2.066939124,459,465
1.094464665,2.250437811,13,2.317087535,496,495
1.095069076,2.897390694,14,1.741535733,491,495
1.100739486,2.393857004,12,2.058838809,454,486
1.102006115,2.347442527,13,1.537067263,473,484
1.103278869,2.999703173,11,2.466031169,460,492
1.110400466,2.639253842,10,1.554604389,494,475
1.11603807,2.158792424,11,2.145662481,461,477
1.116661913,2.100612325,12,1.953188315,465,472
1.118478083,2.094020553,11,1.725075566,478,491
1.133392276,2.326283249,11,1.569969719,454,465
1.145628375,2.311319045,14,1.51777184,473,486
1.149577129,2.003401338,14,2.342381519,454,481
1.165688218,2.631504238,12,2.121560432,465,487
1.167277047,2.952666694,10,1.988456881,464,479
1.168781225,2.729761224,12,2.044723853,491,482
1.17070712,2.718057239,12,1.866751113,469,477
1.172767877,2.309344561,11,1.691558711,496,469
1.174709088,2.293186517,11,2.382102486,463,458
1.177515922,2.622937468,12,2.211947863,451,465
1.179008325,2.838358337,11,1.526365899,484,490
1.18014863,2.930808578,12,1.533417271,482,466
1.184216313,2.880600495,14,1.721990463,474,452
1.185575273,2.040366939,14,1.591790831,497,491
1.196695148,2.647175923,13,2.492939159,452,476
1.210885697,2.153226352,12,1.611139806,462,486
1.217610853,2.855347686,12,2.411839019,492,480
1.223067555,2.200639659,14,1.847425608,473,495
1.226420634,2.324778098,13,2.074080814,486,468
1.229376411,2.31721749,14,1.891854297,450,456
1.231402019,2.782084145,11,1.983889427,459,451
1.232466601,2.356995982,10,1.550886976,461,495
1.248339545,2.035472579,14,1.891807469,489,489
1.251893587,2.13468413,10,1.623728446,486,499
1.252540122,2.020076843,12,1.756716221,500,471
1.25572579,2.835916059,10,2.134382562,477,473
1.25881483,2.876571386,12,2.236344096,486,495
1.259903785,2.088477029,12,1.933564297,455,457
1.262435955,2.648932892,12,2.173399755,460,468
1.264128649,2.748655608,11,1.593135871,487,488
1.27058717,2.191842791,12,1.988509802,480,489
1.274338966,2.325045558,11,2.3253401,455,469
1.277836934,2.207387784,11,1.853620968,495,487
1.280430995,2.085788134,10,1.704652355,491,471
1.281937164,2.558145806,15,2.062238272,469,465
1.295696001,2.169825704,11,2.023849,455,471
1.300067306,2.610699829,15,1.973045102,498,486
1.301302788,2.126187554,12,1.605728868,476,460
1.319181732,2.561123361,14,1.727217526,470,488
1.32314741,2.363991763,11,1.510758628,491,482
1.325974211,2.278716107,12,1.571555543,467,468
1.326214419,2.849033282,12,1.96961454,464,482
1.326884306,2.182329304,14,2.136945947,462,493
1.331721945,2.574493467,12,2.467003757,485,457
1.334558708,2.384059188,12,1.541737478,484,499
1.337163389,2.291958528,12,1.561810624,493,470
1.338541899,2.873524061,13,1.706962468,463,492
1.348048271,2.600345552,13,1.696669694,493,484
1.349704006,2.462858265,11,2.241505103,463,464
1.359694827,2.10296445,14,2.119480939,458,459
1.359822495,2.483813375,13,1.927413635,487,487
1.364109105,2.225570475,12,1.739256168,468,490
1.365758432,2.724618695,12,1.731131621,492,489
1.373985337,2.449853586,11,1.571041702,488,482
1.379571128,2.925905247,13,1.701978519,479,482
1.380905047,2.608901455,12,1.725771083,480,485
1.382229058,2.649198026,13,2.048395207,480,477
1.385912619,2.645919553,13,1.972345373,475,489
1.387432523,2.264857409,13,2.388921476,487,495
1.390019698,2.115422415,13,1.882832664,475,500
1.394255757,2.315346644,12,2.102876253,463,456
1.395613929,2.564189673,10,1.828079057,464,470
1.396406194,2.851207852,13,1.711704366,495,493
1.40427801,2.099195663,11,1.727350776,467,472
1.404313066,2.313205132,14,2.120142991,457,453
1.414820822,2.333898444,11,1.828180506,471,467
1.416514331,2.356797465,13,1.71246161,450,464
1.41688607,2.998189793,11,2.418826626,484,456
1.417694581,2.239043796,12,1.89313898,489,468
1.418484341,2.420914817,13,2.498664476,459,455
1.419658661,2.725352566,10,1.63487269,479,499
1.420141391,2.927682742,12,2.126874212,470,453
1.420990225,2.173582589,12,2.398998222,474,478
1.421991396,2.000535692,11,1.802569919,462,500
1.422283706,2.428099975,14,2.083198292,489,461
1.424852796,2.876679265,13,2.463952875,482,460
1.432466757,2.297318248,15,1.924728438,474,499
1.433298378,2.520668929,11,1.652941152,451,492
1.440460386,2.496200249,13,1.579683411,489,478
1.441185963,2.062698606,13,2.308829592,479,467
1.442723564,2.320060943,13,1.815441978,473,458
1.442918648,2.954414847,14,1.689253653,464,493
1.443639457,2.239548645,10,2.172933655,476,466
1.444306824,2.298098139,13,1.684207481,476,488
1.448160799,2.376209795,15,1.842627164,470,475
1.449066534,2.73783164,11,1.592692257,450,460
1.45526684,2.350972361,11,2.04925886,486,468
1.462333492,2.236515235,11,2.270032619,486,498
1.462499537,2.810931719,11,1.50893015,468,454
1.464340771,2.550801224,12,1.733286482,453,482
1.465967204,2.454756196,12,2.281056063,450,471
1.469000785,2.944966656,10,1.88567989,471,485
1.470988632,2.342237542,12,2.231233315,460,497
1.471166345,2.264609683,12,1.623118218,476,458
1.476359433,2.486476431,11,1.667514283,477,492
1.48224812,2.570712977,12,1.832010014,465,496
1.482721079,2.949592859,15,1.543777502,451,498
1.487597552,2.525102814,12,2.290855606,467,462
1.487944372,2.656712996,14,1.7932191,464,486
1.488714994,2.859857658,10,1.777732634,468,498
1.491735677,2.844521809,13,2.482412141,481,457
1.493489583,2.641879259,15,1.738625455,487,450
1.493930402,2.705636067,11,2.199017411,491,454
1.497410771,2.624450279,12,1.785860495,450,490
1.497857685,2.034961218,12,1.684919238,474,498
1.500798562,2.277402928,11,1.545062266,488,462
1.510717917,2.111257107,15,2.113439202,487,495
1.51321372,2.48372118,12,1.534139875,473,487
1.515481691,2.461296434,12,1.932408952,496,475
1.51777424,2.214383394,13,1.705939973,471,455
1.51821225,2.797310322,11,1.731041263,483,479
1.519066213,2.2973305,13,1.717837111,472,460
1.519584261,2.756828797,11,1.611163695,462,482
1.522196813,2.357463519,14,2.330846373,472,467
1.532693917,2.355273272,11,1.585046972,465,458
1.533673721,2.114573331,13,1.896535152,481,478
1.538846147,2.3773645,12,2.111369044,451,465
1.541505576,2.409073775,13,2.120398943,462,476
1.54336637,2.184726323,11,1.933058909,466,491
1.548747567,2.327707452,14,2.003090592,457,451
1.550739963,2.065504843,14,2.160265425,496,495
1.552891716,2.85279286,11,1.562015122,498,463
1.556377118,2.676900624,12,2.230470694,461,487
1.556457533,2.68787355,11,2.062499931,461,493
1.563011842,2.668425248,14,1.592064788,451,484
1.565331967,2.108596782,15,2.130633808,451,465
1.567722983,2.36614436,10,2.122371063,452,463
1.568361654,2.522148322,10,1.955196153,495,494
1.570277017,2.371873511,10,1.550168625,471,454
1.572471768,2.447104493,12,1.592259188,454,482
1.572955121,2.592206586,12,1.874622661,479,460
1.573260455,2.973274888,14,1.61197841,475,488
1.574234203,2.216437715,12,2.382196807,453,488
1.575238817,2.367531584,14,1.642321887,451,494
1.576953169,2.803729901,14,1.505537589,458,474
1.577058957,2.826192864,14,1.508940712,468,484
1.578257255,2.292191216,12,2.107359802,477,469
1.579141645,2.106524286,13,1.663960912,485,495
1.582645215,2.749906394,10,2.154713532,456,471
1.584137361,2.284857125,12,1.739378137,494,466
1.58597119,2.895152592,13,2.190971598,461,477
1.587483857,2.276707399,12,1.756473133,470,451
1.595719806,2.898123029,10,1.680569979,465,477
1.5972077,2.241586496,10,2.082101757,482,499
