learn_rate,num_hidden_nodes,weight_range,beta,c,error
1.5,8,1.5,100.0,100.0,4.398352099536201
1.5,8,1.5,100.0,300.0,2.0473941470484083
1.5,8,1.5,300.0,100.0,3.842100602208899
1.5,8,1.5,300.0,300.0,2.039305904651898
1.5,8,2.5,100.0,100.0,1.0340030741968158
1.5,8,2.5,100.0,300.0,2.141163302377373
1.5,8,2.5,300.0,100.0,1.8487889013838528
1.5,8,2.5,300.0,300.0,3.0991853797008475
1.5,11,1.5,100.0,100.0,2.7602016849873277
1.5,11,1.5,100.0,300.0,2.507558547203095
1.5,11,1.5,300.0,100.0,2.81714110812368
1.5,11,1.5,300.0,300.0,2.7785385466959074
1.5,11,2.5,100.0,100.0,4.401215559773101
1.5,11,2.5,100.0,300.0,3.9037766028767056
1.5,11,2.5,300.0,100.0,3.8382325908842887
1.5,11,2.5,300.0,300.0,4.486188899118796
1.5,14,1.5,100.0,100.0,2.0316422624663004
1.5,14,1.5,100.0,300.0,2.0377539967225844
1.5,14,1.5,300.0,100.0,1.989848528059672
1.5,14,1.5,300.0,300.0,2.574558633821394
1.5,14,2.5,100.0,100.0,6.6008368043458
1.5,14,2.5,100.0,300.0,3.8108998288884277
1.5,14,2.5,300.0,100.0,3.870396335133082
1.5,14,2.5,300.0,300.0,5.239757804078973
