learn_rate,num_hidden_nodes,weight_range,beta,c,error
2,8,2.375,480,460,0.098535792
2.125,8,2.375,480,460,0.099326811
2.25,8,2.375,480,460,0.0995581
2.375,8,2.375,480,460,0.100619047
2.125,11,2.375,460,480,0.10594986
2.25,11,2.375,460,480,0.106515554
2.5,8,2.375,480,460,0.107474171
2.5,10,2.5,420,420,0.108411805
2,10,2.125,460,420,0.108421132
2.25,11,2.25,480,480,0.10876675
2,11,2.375,460,480,0.108991013
2.125,10,2.25,420,480,0.110191494
2.375,11,2.375,460,480,0.110527667
2,10,2.25,260,420,0.111024295
2.125,11,2.25,480,480,0.111570544
2,10,2.375,420,420,0.111822338
2.375,11,2.25,480,480,0.112055731
2,11,2.25,480,480,0.112502356
2.25,8,2.375,420,460,0.112503516
2,10,2.25,420,480,0.112740201
2.375,10,2.375,420,420,0.112801254
2.5,10,2.375,460,480,0.112977034
2.125,8,2.375,420,460,0.113051558
2.25,10,2.25,420,480,0.113343366
2.5,9,2.5,480,460,0.113428073
2.5,9,2.5,420,480,0.113562702
2.5,10,2.375,420,420,0.11408612
2.375,9,2.5,480,460,0.114086289
2.25,10,2.25,260,420,0.114215232
2,11,2.25,420,480,0.114241845
2.375,9,2.5,460,400,0.114340219
2.125,10,2.375,420,420,0.114378482
2.25,9,2.5,460,400,0.114388721
2.25,10,2.375,420,420,0.11443832
2.375,9,2.5,420,480,0.114472083
2.5,11,2.25,480,480,0.11456524
2.125,11,2.25,420,480,0.114592207
2.125,9,2.375,460,460,0.114921013
2.125,10,2.125,460,420,0.114930004
1.75,10,2.25,260,420,0.115003547
2.25,9,2.375,460,460,0.115314096
2.5,11,2.375,460,460,0.115442085
2.375,8,2.375,420,460,0.115464263
2.5,6,2.5,100,260,0.115529583
2.375,10,2.25,420,480,0.115856813
2.25,9,2.5,420,480,0.115907793
2.25,10,2.5,420,420,0.116082096
2.375,10,2.375,460,480,0.116129327
2.5,10,2.375,460,460,0.116289608
2,8,2.375,420,460,0.116325329
2.25,9,2.5,480,460,0.11635285
2.5,11,2.375,460,480,0.116775683
2.125,8,2.375,480,400,0.116882493
2.375,9,2.375,460,460,0.116949924
2.375,10,2.125,460,420,0.117066669
2.375,8,2.375,480,400,0.117097029
2.375,8,2.375,460,460,0.117265041
2.5,9,2.375,460,400,0.117344815
2.5,8,2.375,460,460,0.117533242
2.25,8,2.375,480,400,0.117593305
2.25,10,2.125,460,420,0.117628976
2.375,11,2.375,460,460,0.117764166
2.25,8,2.375,480,480,0.117844907
2.25,11,2.25,420,460,0.11787145
