hyperparam combo,hn,lr,wr,beta,error_val
0,2,0.1,1,10,10.90201568
1,2,0.1,2,20,11.98796588
2,2,0.1,3,30,13.68694168
3,2,0.3,1,20,8.371067333
4,2,0.3,2,30,8.211101873
5,2,0.3,3,10,10.07166676
6,2,0.6,1,30,7.505519868
7,2,0.6,2,10,7.295983662
8,2,0.6,3,20,7.448727292
9,3,0.1,1,20,9.895592626
10,3,0.1,2,30,11.30271658
11,3,0.1,3,10,13.42328718
12,3,0.3,1,30,7.913436634
13,3,0.3,2,10,8.310476894
14,3,0.3,3,20,9.357832476
15,3,0.6,1,10,7.495259072
16,3,0.6,2,20,6.217474924
17,3,0.6,3,30,6.841821275
18,4,0.1,1,30,9.34307738
19,4,0.1,2,10,11.47509393
20,4,0.1,3,20,12.86748231
21,4,0.3,1,10,8.19584782
22,4,0.3,2,20,7.488933604
23,4,0.3,3,30,9.075538415
24,4,0.6,1,20,6.70529075
25,4,0.6,2,30,5.621283108
26,4,0.6,3,10,7.028542417
